"","X","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn"
"1",27468,"d605fe3b-3848-4f06-aff4-81d594a63d7b","iwajowa","oyo","southwest","8.01150134 2.72184696 166.8000030517578 5.0","RCM Primary School","primary_only","oyo_iwajowa",376,"1338201005599.jpg","d605fe3b-3848-4f06-aff4-81d594a63d7b","primary_only","1338201005599.jpg",3,"formal_educ",FALSE,TRUE,0,3,NA,NA,TRUE,TRUE,35,0.968503937007874,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,50,FALSE,FALSE,TRUE,FALSE,2.38095238095238,2,83.3333333333333,Inf,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"2",27469,"02a618dd-59ac-49d7-b889-19e232adb25c","iwajowa","oyo","southwest","8.07330776 3.21283047 290.6000061035156 5.0","Community Primary School","preprimary_and_primary","oyo_iwajowa",376,"1338021361303.jpg","02a618dd-59ac-49d7-b889-19e232adb25c","preprimary_and_primary","1338021361303.jpg",5,"formal_educ",TRUE,FALSE,3,5,135,0.324519230769231,TRUE,TRUE,259,0.606177606177606,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,83.2,FALSE,FALSE,TRUE,FALSE,16.64,16.64,83.2,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",27470,"4fca96d0-b037-4762-ab4c-91fc796cffdb","iwajowa","oyo","southwest","7.96668869 3.25019035 254.60000610351563 5.0","Roman Catholic Mission Primary School","preprimary_and_primary","oyo_iwajowa",376,"1337948906120.jpg","4fca96d0-b037-4762-ab4c-91fc796cffdb","preprimary_and_primary","1337948906120.jpg",21,"formal_educ",FALSE,FALSE,2,21,1340,4,TRUE,FALSE,0,0.871508379888268,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,30.4545454545455,FALSE,FALSE,FALSE,TRUE,2.03030303030303,2.03030303030303,15.952380952381,Inf,21,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"4",27471,"eefaf783-8adf-45e6-96a2-c59f61f7efc2","iwajowa","oyo","southwest","8.00189739 3.08823351 220.1999969482422 5.0","Elshaddai Nursery & Primary School","preprimary_and_primary","oyo_iwajowa",376,"1337948239198.jpg","eefaf783-8adf-45e6-96a2-c59f61f7efc2","preprimary_and_primary","1337948239198.jpg",7,"formal_educ",TRUE,TRUE,3,3,133,0.570815450643777,TRUE,TRUE,0,1.02608695652174,TRUE,FALSE,38.8333333333333,FALSE,0,FALSE,FALSE,TRUE,FALSE,29.125,TRUE,FALSE,FALSE,FALSE,2.11818181818182,2.00862068965517,33.2857142857143,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"5",27472,"37ddb634-cbf1-4c47-84fc-9bd6470e11d3","iwajowa","oyo","southwest","7.980499 3.25279244 259.0 5.0","Baptist High School","juniors_sec_only","oyo_iwajowa",376,"1338223693388.jpg","37ddb634-cbf1-4c47-84fc-9bd6470e11d3","juniors_sec_only","1338223693388.jpg",7,"formal_educ",TRUE,FALSE,4,7,NA,NA,TRUE,FALSE,20,1.30666666666667,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,43.25,FALSE,FALSE,TRUE,TRUE,1.57272727272727,1.57272727272727,24.7142857142857,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"6",27473,"c360ca84-58ff-492e-8054-01ccdcc5e6c8","iwajowa","oyo","southwest","7.96339091 3.24958744 245.89999389648438 5.0","Bembo Accademy Nursery & Primary School","preprimary_and_primary","oyo_iwajowa",376,"1338047560297.jpg","c360ca84-58ff-492e-8054-01ccdcc5e6c8","preprimary_and_primary","1338047560297.jpg",8,"formal_educ",FALSE,FALSE,12,8,88,0.977777777777778,TRUE,FALSE,0,0.875,TRUE,FALSE,22.5,FALSE,0,FALSE,TRUE,FALSE,FALSE,7.5,TRUE,FALSE,TRUE,TRUE,2.25,2.25,11.25,Inf,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"7",27474,"2e4b46c5-8a7e-4b82-9773-9c0fd5eae648","iwajowa","oyo","southwest","8.00622349 3.09524108 221.8000030517578 5.0","ADS High School","junior_and_senior_sec","oyo_iwajowa",376,"1337941598792.jpg","2e4b46c5-8a7e-4b82-9773-9c0fd5eae648","junior_and_senior_sec","1337941598792.jpg",9,"formal_educ",TRUE,FALSE,4,3,720,1.83673469387755,TRUE,TRUE,50,0.92156862745098,FALSE,NA,NA,FALSE,2,FALSE,FALSE,TRUE,FALSE,65.3333333333333,FALSE,FALSE,FALSE,TRUE,15.68,10.8888888888889,43.5555555555556,Inf,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",27475,"bbd7a98b-29ca-403d-a793-1a8761e723c2","iwajowa","oyo","southwest","7.99437659 3.1030543 222.8000030517578 5.0","St Joseph Catholic College","junior_and_senior_sec","oyo_iwajowa",376,"1338198285005.jpg","bbd7a98b-29ca-403d-a793-1a8761e723c2","junior_and_senior_sec","1338198285005.jpg",3,"formal_educ",FALSE,FALSE,0,2,82,0.745454545454545,TRUE,FALSE,0,1.15686274509804,FALSE,NA,NA,TRUE,0,FALSE,FALSE,TRUE,FALSE,55,FALSE,FALSE,FALSE,TRUE,1.1,1.1,36.6666666666667,3,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"9",27476,"bc3fab12-b0f3-45fb-8a45-d4ac1f1df86b","iwajowa","oyo","southwest","7.96901004 3.24079045 242.1999969482422 5.0","ADS BASIC SCHOOL I","preprimary_and_primary","oyo_iwajowa",376,"1337950237691.jpg","bc3fab12-b0f3-45fb-8a45-d4ac1f1df86b","preprimary_and_primary","1337950237691.jpg",30,"formal_educ",FALSE,FALSE,8,24,145,0.211678832116788,FALSE,TRUE,0,1.08206686930091,FALSE,NA,NA,FALSE,6,FALSE,FALSE,TRUE,FALSE,48.9285714285714,FALSE,FALSE,TRUE,FALSE,4.72413793103448,4.72413793103448,22.8333333333333,Inf,10,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"10",27477,"301e1702-58cf-4335-9a2c-3a89dbc7091e","iwajowa","oyo","southwest","7.88160144 3.14568668 235.8000030517578 5.0","Community Primary School","preprimary_and_primary","oyo_iwajowa",376,"1338042287404.jpg","301e1702-58cf-4335-9a2c-3a89dbc7091e","preprimary_and_primary","1338042287404.jpg",6,"formal_educ",TRUE,FALSE,2,6,290,1.79012345679012,TRUE,TRUE,101,1.25,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,16.2,FALSE,FALSE,TRUE,TRUE,2.18918918918919,2.18918918918919,27,Inf,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"11",27478,"826797a6-6c43-4d1a-92e4-765c3aa28b24","iwajowa","oyo","southwest","7.9310037 3.20740696 286.20001220703125 5.0","Community Basic School","primary_only","oyo_iwajowa",376,"1338030560069.jpg","826797a6-6c43-4d1a-92e4-765c3aa28b24","primary_only","1338030560069.jpg",5,"formal_educ",TRUE,FALSE,6,5,NA,NA,TRUE,TRUE,24,0.57396449704142,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,44.3333333333333,FALSE,FALSE,TRUE,FALSE,8.86666666666667,8.86666666666667,53.2,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"12",27479,"07bcb1ec-2105-4c9f-bb23-f7325b2283d3","iwajowa","oyo","southwest","7.9753335 3.25535211 248.89999389648438 5.0","Nomadic Basic School I","preprimary_and_primary","oyo_iwajowa",376,"1337947704405.jpg","07bcb1ec-2105-4c9f-bb23-f7325b2283d3","preprimary_and_primary","1337947704405.jpg",22,"formal_educ",FALSE,FALSE,3,17,744,2.43137254901961,TRUE,FALSE,0,0.728813559322034,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,34,FALSE,FALSE,TRUE,FALSE,4.37142857142857,4.37142857142857,13.9090909090909,Inf,11,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
"13",27480,"969dd327-5eab-41c4-9f23-5035031c9278","iwajowa","oyo","southwest","8.1424399 3.03567856 274.3999938964844 5.0","Agbaruru Community Primary School","preprimary_and_primary","oyo_iwajowa",376,"1338284242236.jpg","969dd327-5eab-41c4-9f23-5035031c9278","preprimary_and_primary","1338284242236.jpg",5,"formal_educ",FALSE,FALSE,0,3,242,0.581730769230769,TRUE,TRUE,0,0.882352941176471,FALSE,NA,NA,FALSE,1,FALSE,FALSE,TRUE,FALSE,69.3333333333333,FALSE,FALSE,FALSE,FALSE,16.64,16.64,83.2,Inf,3,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
"14",27481,"4a882cb4-1e34-462b-88ce-dd297d90c285","iwajowa","oyo","southwest","7.85534107 3.18807281 254.1999969482422 5.0","Community Primary School","primary_only","oyo_iwajowa",376,"1338038646823.jpg","4a882cb4-1e34-462b-88ce-dd297d90c285","primary_only","1338038646823.jpg",5,"formal_educ",TRUE,FALSE,6,5,0,0,TRUE,TRUE,0,0.871508379888268,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,55.8333333333333,FALSE,FALSE,TRUE,FALSE,11.1666666666667,11.1666666666667,67,Inf,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"15",27482,"eda67c61-90f2-484a-b748-b09f607544ae","iwajowa","oyo","southwest","7.93218184 2.99554471 240.3000030517578 5.0","Iwajowa Community High School Ijio","junior_and_senior_sec","oyo_iwajowa",376,"1338203299023.jpg","eda67c61-90f2-484a-b748-b09f607544ae","junior_and_senior_sec","1338203299023.jpg",8,"formal_educ",TRUE,FALSE,7,2,18,0.03035413153457,TRUE,NA,11,0.931596091205212,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,31.2105263157895,FALSE,FALSE,FALSE,TRUE,5.93,5.93,74.125,1,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"16",27483,"75407085-3822-4224-9017-ca8ac425f28c","iwajowa","oyo","southwest","7.86504705 3.23077644 206.1999969482422 5.0","Community Primary School","preprimary_and_primary","oyo_iwajowa",376,"1338032653154.jpg","75407085-3822-4224-9017-ca8ac425f28c","preprimary_and_primary","1338032653154.jpg",13,"formal_educ",FALSE,FALSE,9,13,1104,1.80687397708674,FALSE,TRUE,0,0.868501529051988,TRUE,FALSE,611,FALSE,4,FALSE,FALSE,TRUE,FALSE,47,FALSE,FALSE,TRUE,FALSE,5.65740740740741,5.65740740740741,47,Inf,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"17",27484,"2c3b225f-5db1-48da-a890-b71509656835","iwajowa","oyo","southwest","7.98404269 3.26239637 276.1000061035156 5.0","Iganna High School","junior_and_senior_sec","oyo_iwajowa",376,"1338025572477.jpg","2c3b225f-5db1-48da-a890-b71509656835","junior_and_senior_sec","1338025572477.jpg",12,"formal_educ",FALSE,FALSE,8,4,165,0.263578274760383,TRUE,FALSE,0,0.914373088685015,FALSE,NA,NA,TRUE,4,FALSE,FALSE,FALSE,FALSE,31.3,FALSE,FALSE,FALSE,FALSE,1.39111111111111,1.565,52.1666666666667,6,6,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
"18",27485,"b6dc582b-3ac8-4b6b-bb86-7cd202c7a165","iwajowa","oyo","southwest","8.02104182 3.04788599 258.5 5.0","Itile Comprehensive High School","junior_and_senior_sec","oyo_iwajowa",376,"1338286092624.jpg","b6dc582b-3ac8-4b6b-bb86-7cd202c7a165","junior_and_senior_sec","1338286092624.jpg",7,"formal_educ",FALSE,FALSE,0,2,160,0.60377358490566,TRUE,NA,0,1.4537037037037,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,FALSE,44.1666666666667,FALSE,FALSE,FALSE,TRUE,5.3,5.3,37.8571428571429,Inf,7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"19",27486,"126b35b7-8676-46ac-9f1d-b0b8857c0fba","iwajowa","oyo","southwest","7.9744433 3.25647159 259.29998779296875 5.0","Nomadic Pry School II","preprimary_and_primary","oyo_iwajowa",376,"1337948219173.jpg","126b35b7-8676-46ac-9f1d-b0b8857c0fba","preprimary_and_primary","1337948219173.jpg",19,"formal_educ",FALSE,FALSE,4,16,330,0.55,TRUE,FALSE,0,1.01342281879195,FALSE,NA,NA,FALSE,3,FALSE,FALSE,FALSE,FALSE,60,FALSE,FALSE,FALSE,FALSE,9.23076923076923,8.95522388059701,31.5789473684211,Inf,14,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"20",27487,"f6cdad82-3e1d-4c0e-a221-d6f1086d43bf","iwajowa","oyo","southwest","8.0924998 3.05837672 308.29998779296875 5.0","Normadic Pry Sch Alaraba Iwere Ile","preprimary_and_primary","oyo_iwajowa",376,"1338287911571.jpg","f6cdad82-3e1d-4c0e-a221-d6f1086d43bf","preprimary_and_primary","1338287911571.jpg",3,"formal_educ",FALSE,FALSE,1,3,191,1.75229357798165,FALSE,TRUE,0,1.31914893617021,FALSE,NA,NA,FALSE,NA,FALSE,FALSE,FALSE,FALSE,109,FALSE,FALSE,FALSE,FALSE,Inf,Inf,36.3333333333333,Inf,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"21",27488,"2d7b79c1-7fbe-4494-b2e9-437f6abc36f4","iwajowa","oyo","southwest","7.9997059 3.08525623 221.10000610351563 5.0","Dayspring Model Nursery Primary School","preprimary_and_primary","oyo_iwajowa",376,"1338201767710.jpg","2d7b79c1-7fbe-4494-b2e9-437f6abc36f4","preprimary_and_primary","1338201767710.jpg",6,"formal_educ",FALSE,FALSE,0,2,8,0.0677966101694915,TRUE,FALSE,0,1.26923076923077,TRUE,FALSE,59,TRUE,0,FALSE,FALSE,TRUE,FALSE,29.5,FALSE,FALSE,FALSE,FALSE,1.9344262295082,1.73529411764706,19.6666666666667,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"22",27489,"32b912e5-209c-44c2-8edc-edfef54abf1d","iwajowa","oyo","southwest","8.01311351 2.72277544 168.6999969482422 5.0","Elton Memorial International School","preprimary_and_primary","oyo_iwajowa",376,"1338202678373.jpg","32b912e5-209c-44c2-8edc-edfef54abf1d","preprimary_and_primary","1338202678373.jpg",7,"formal_educ",FALSE,FALSE,0,2,24,0.436363636363636,TRUE,NA,7,1.75,FALSE,NA,NA,FALSE,3,FALSE,FALSE,TRUE,FALSE,18.3333333333333,TRUE,FALSE,TRUE,TRUE,1.52777777777778,1.52777777777778,7.85714285714286,Inf,7,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"23",27490,"14a0ea06-806c-44fd-9baf-34ffc8ad2ce9","iwajowa","oyo","southwest","8.00033482 3.07813991 236.6999969482422 5.0","Ilupeju community Junior grammar school","juniors_sec_only","oyo_iwajowa",376,"1338028962252.jpg","14a0ea06-806c-44fd-9baf-34ffc8ad2ce9","juniors_sec_only","1338028962252.jpg",9,"formal_educ",FALSE,FALSE,5,5,NA,NA,TRUE,TRUE,45,0.647058823529412,TRUE,FALSE,37.3333333333333,TRUE,4,FALSE,FALSE,FALSE,FALSE,12.4444444444444,FALSE,FALSE,FALSE,FALSE,0.933333333333333,0.933333333333333,12.4444444444444,Inf,9,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"24",27491,"ca43ef59-cff2-4dfe-9b49-8af98c90b32d","iwajowa","oyo","southwest","8.05888313 2.96416843 239.5 5.0","Community Primary School","preprimary_and_primary","oyo_iwajowa",376,"1338288756649.jpg","ca43ef59-cff2-4dfe-9b49-8af98c90b32d","preprimary_and_primary","1338288756649.jpg",8,"formal_educ",FALSE,TRUE,3,4,200,0.709219858156028,TRUE,FALSE,0,1.02877697841727,FALSE,NA,NA,FALSE,4,FALSE,FALSE,FALSE,FALSE,40.2857142857143,FALSE,FALSE,FALSE,FALSE,6.1304347826087,6.1304347826087,35.25,Inf,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"25",27492,"39d92a12-b82f-4fc6-bc22-568efe60c3e2","iwajowa","oyo","southwest","7.86885998 2.89447641 250.89999389648438 5.0","Community Primary School Owode Ijio","primary_only","oyo_iwajowa",376,"1338386173547.jpg","39d92a12-b82f-4fc6-bc22-568efe60c3e2","primary_only","1338386173547.jpg",3,"formal_educ",TRUE,FALSE,0,1,NA,NA,TRUE,NA,15,0.909090909090909,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,NA,21,10.5,35,Inf,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"26",27493,"72da1e40-d023-4afe-86a7-f4190fc8efe3","iwajowa","oyo","southwest","7.83687343 3.22228317 253.60000610351563 5.0","St. Anthony Progressive Nursery & Primary School","preprimary_and_primary","oyo_iwajowa",376,"1338285751128.jpg","72da1e40-d023-4afe-86a7-f4190fc8efe3","preprimary_and_primary","1338285751128.jpg",3,"formal_educ",FALSE,FALSE,0,2,24,1.09090909090909,FALSE,FALSE,0,1.2,FALSE,NA,NA,FALSE,6,FALSE,FALSE,TRUE,FALSE,3.66666666666667,FALSE,FALSE,TRUE,TRUE,0.733333333333333,0.733333333333333,7.33333333333333,Inf,3,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"27",27494,"dd59cd0f-81c3-4e42-a703-1e8c38ed088b","iwajowa","oyo","southwest","8.00076916 3.08457178 215.5 5.0","Baptist Primary School","preprimary_and_primary","oyo_iwajowa",376,"1337947370537.jpg","dd59cd0f-81c3-4e42-a703-1e8c38ed088b","preprimary_and_primary","1337947370537.jpg",21,"formal_educ",FALSE,TRUE,9,14,4588,3.71799027552674,TRUE,FALSE,0,0.968102073365231,TRUE,TRUE,205.666666666667,FALSE,4,FALSE,FALSE,FALSE,FALSE,72.5882352941177,FALSE,FALSE,FALSE,FALSE,5.87619047619048,5.14166666666667,58.7619047619048,Inf,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"28",27495,"d70ba5ef-4847-41e2-9907-54b16d3d354a","iwajowa","oyo","southwest","7.99068476 3.06901068 253.0 5.0","Local Authority Primary school Idiko Ago","preprimary_and_primary","oyo_iwajowa",376,"1338192663251.jpg","d70ba5ef-4847-41e2-9907-54b16d3d354a","preprimary_and_primary","1338192663251.jpg",11,"formal_educ",TRUE,FALSE,0,11,NA,NA,TRUE,FALSE,0,0.951456310679612,FALSE,NA,NA,FALSE,2,TRUE,FALSE,FALSE,FALSE,15.4615384615385,FALSE,FALSE,FALSE,FALSE,3.94117647058824,4.02,18.2727272727273,NA,11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"29",27496,"976d7518-4cfa-44c1-8708-1882e4d494a5","iwajowa","oyo","southwest","7.99163759 3.28669705 299.5 5.0","Community Primary School","preprimary_and_primary","oyo_iwajowa",376,"1338024960317.jpg","976d7518-4cfa-44c1-8708-1882e4d494a5","preprimary_and_primary","1338024960317.jpg",10,"formal_educ",FALSE,FALSE,0,9,590,0.750636132315522,FALSE,FALSE,32,0.950372208436725,TRUE,TRUE,196.5,FALSE,3,FALSE,FALSE,FALSE,FALSE,87.3333333333333,FALSE,FALSE,FALSE,FALSE,17.4666666666667,17.4666666666667,78.6,Inf,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
