"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"45579",45579,45579,"7081cc0b-d90c-4043-96df-e1987da42f06","orsu","imo","southeast","5.80263005 6.96165874 202.6999969482422 5.0","MIGRANT SCH EBENATOR","preprimary_and_primary","imo_orsu",614,"1346019636914.jpg","7081cc0b-d90c-4043-96df-e1987da42f06","preprimary_and_primary","1346019636914.jpg",8,"formal_educ",FALSE,FALSE,0,8,330,1.46017699115044,FALSE,TRUE,0,0.915254237288136,FALSE,NA,NA,TRUE,0,TRUE,FALSE,FALSE,FALSE,45.2,FALSE,FALSE,FALSE,TRUE,11.3,11.3,28.25,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"45580",45580,45580,"442d12d4-2b09-4583-87c1-1cacdb0fb4a6","orsu","imo","southeast","5.84479053 6.96201563 198.39999389648438 5.0","ORSUIHITEUKWA SEC SCH","junior_and_senior_sec","imo_orsu",614,"1346112684173.jpg","442d12d4-2b09-4583-87c1-1cacdb0fb4a6","junior_and_senior_sec","1346112684173.jpg",13,"formal_educ",TRUE,TRUE,10,5,350,0.14,FALSE,TRUE,400,0.923076923076923,TRUE,TRUE,625,FALSE,7,FALSE,FALSE,FALSE,FALSE,125,TRUE,FALSE,FALSE,FALSE,Inf,20.8333333333333,192.307692307692,6.5,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"45581",45581,45581,"5225141f-fdf2-41f6-8a8f-e636344d6ebc","orsu","imo","southeast","5.89167029 6.9846093 113.9000015258789 5.0","Community School II Amaruru","preprimary_and_primary","imo_orsu",614,"1346240103145.jpg","5225141f-fdf2-41f6-8a8f-e636344d6ebc","preprimary_and_primary","1346240103145.jpg",6,"formal_educ",FALSE,FALSE,5,6,210,0.813953488372093,TRUE,FALSE,0,1,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,21.5,FALSE,FALSE,TRUE,FALSE,Inf,7.37142857142857,43,6,6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"45582",45582,45582,"0dddefd8-b9c2-4554-98c8-34a453168710","orsu","imo","southeast","5.85306616 6.95113112 193.1999969482422 5.0","Sacred Heart Int‘l Secondary School, Orsuihiteukwa","junior_and_senior_sec","imo_orsu",614,"1346153088217.jpg","0dddefd8-b9c2-4554-98c8-34a453168710","junior_and_senior_sec","1346153088217.jpg",13,"formal_educ",TRUE,TRUE,0,4,23,0.0769230769230769,TRUE,NA,30,0.377880184331797,TRUE,TRUE,29.9,TRUE,2,TRUE,FALSE,TRUE,TRUE,24.9166666666667,FALSE,FALSE,FALSE,FALSE,2.71818181818182,2.71818181818182,23,6.5,8,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"45583",45583,45583,"732b248c-a597-4ab9-bbf4-5b95e28ea33d","orsu","imo","southeast","5.81679364 6.98672059 175.39999389648438 5.0","Community School 1","preprimary_and_primary","imo_orsu",614,"1346156314578.jpg","732b248c-a597-4ab9-bbf4-5b95e28ea33d","preprimary_and_primary","1346156314578.jpg",25,"formal_educ",FALSE,TRUE,0,24,240,1.17073170731707,TRUE,FALSE,0,1.05,TRUE,TRUE,20.5,TRUE,0,TRUE,FALSE,TRUE,TRUE,25.625,FALSE,FALSE,FALSE,TRUE,0.82,0.82,8.2,12.5,25,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"45584",45584,45584,"2191f330-d9d2-47be-aab7-712965857f19","orsu","imo","southeast","5.81829203 6.93024529 167.89999389648438 5.0","Community Primary School 1","preprimary_and_primary","imo_orsu",614,"1346074337500.jpg","2191f330-d9d2-47be-aab7-712965857f19","preprimary_and_primary","1346074337500.jpg",24,"formal_educ",FALSE,TRUE,0,23,135,1.08,TRUE,FALSE,0,0.666666666666667,TRUE,TRUE,20.8333333333333,TRUE,0,TRUE,FALSE,TRUE,TRUE,8.92857142857143,FALSE,FALSE,FALSE,TRUE,0.618811881188119,0.609756097560976,5.20833333333333,8,24,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"45585",45585,45585,"4a9d6c5f-de67-47ce-bc9d-af68af91f4b9","orsu","imo","southeast","5.82142737 6.98100379 235.0 5.0","OKWU PUBLIC SCHL. UMUHU OKABIA","preprimary_and_primary","imo_orsu",614,"1346161446858.jpg","4a9d6c5f-de67-47ce-bc9d-af68af91f4b9","preprimary_and_primary","1346161446858.jpg",8,"formal_educ",FALSE,FALSE,3,2,270,0.688775510204082,FALSE,FALSE,0,1.03108808290155,FALSE,NA,NA,FALSE,2,FALSE,FALSE,FALSE,TRUE,35.6363636363636,FALSE,FALSE,FALSE,FALSE,Inf,5.6,49,8,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"45586",45586,45586,"ea96b7cb-27b1-4375-aadd-dd00534f22c9","orsu","imo","southeast","5.82533747 6.94820064 160.3000030517578 5.0","Central school awoidemili","preprimary_and_primary","imo_orsu",614,"1345896829526.jpg","ea96b7cb-27b1-4375-aadd-dd00534f22c9","preprimary_and_primary","1345896829526.jpg",10,"formal_educ",FALSE,FALSE,5,5,177,0.178787878787879,FALSE,FALSE,0,0.914893617021277,TRUE,FALSE,330,FALSE,3,FALSE,FALSE,TRUE,FALSE,123.75,FALSE,FALSE,TRUE,FALSE,15.46875,15.46875,99,10,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"45587",45587,45587,"9a3d4eaf-c9d2-47e9-a54a-ac0c88c66eb6","orsu","imo","southeast","5.8530886 6.95085695 193.5 5.0","Sacred Heart Int‘l Nursery/Primary School ","preprimary_and_primary","imo_orsu",614,"1346250858969.jpg","9a3d4eaf-c9d2-47e9-a54a-ac0c88c66eb6","preprimary_and_primary","1346250858969.jpg",18,"formal_educ",TRUE,TRUE,0,15,28,0.112449799196787,TRUE,FALSE,40,0.79136690647482,TRUE,TRUE,24.9,TRUE,0,TRUE,FALSE,TRUE,TRUE,15.5625,FALSE,FALSE,FALSE,FALSE,8.3,4.98,13.8333333333333,9,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"45588",45588,45588,"b342ea16-a9aa-4269-b14b-34f2489cc0ff","orsu","imo","southeast","5.82408204 6.93106662 172.6999969482422 5.0","Union Primary School ","primary_only","imo_orsu",614,"1346152415379.jpg","b342ea16-a9aa-4269-b14b-34f2489cc0ff","primary_only","1346152415379.jpg",25,"formal_educ",FALSE,TRUE,0,NA,NA,NA,TRUE,FALSE,0,0.882352941176471,FALSE,TRUE,18.2857142857143,TRUE,0,TRUE,FALSE,TRUE,TRUE,12.8,FALSE,FALSE,FALSE,NA,NA,NA,5.12,NA,0,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"45589",45589,45589,"4c57db38-cd9e-469e-999f-402ad9e380d1","orsu","imo","southeast","5.84814196 6.97341246 160.5 5.0","St. Anthony Nursery & Primary School, Eziawa","preprimary_and_primary","imo_orsu",614,"1346160562097.jpg","4c57db38-cd9e-469e-999f-402ad9e380d1","preprimary_and_primary","1346160562097.jpg",9,"formal_educ",FALSE,TRUE,3,8,24,0.118811881188119,FALSE,FALSE,0,1.12631578947368,FALSE,NA,NA,FALSE,4,TRUE,FALSE,FALSE,FALSE,22.4444444444444,FALSE,FALSE,FALSE,FALSE,Inf,1,22.4444444444444,Inf,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"45590",45590,45590,"d32ad535-a39b-46f0-a158-45ba5e59ea29","orsu","imo","southeast","5.81189383 6.9783638 175.5 5.0","Pioneer Primary School","primary_only","imo_orsu",614,"1346327526465.jpg","d32ad535-a39b-46f0-a158-45ba5e59ea29","primary_only","1346327526465.jpg",20,"formal_educ",FALSE,TRUE,0,20,NA,NA,TRUE,FALSE,0,1.33333333333333,FALSE,TRUE,17.5,TRUE,0,TRUE,FALSE,TRUE,TRUE,15,FALSE,FALSE,FALSE,TRUE,0.7,0.7,5.25,Inf,20,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"45591",45591,45591,"09fe89b1-0d99-4285-a252-d27415825876","orsu","imo","southeast","5.86609296 6.99016608 120.5999984741211 5.0","Holy ghost international secondary school","junior_and_senior_sec","imo_orsu",614,"1346248537439.jpg","09fe89b1-0d99-4285-a252-d27415825876","junior_and_senior_sec","1346248537439.jpg",14,"formal_educ",FALSE,FALSE,0,3,105,0.267175572519084,FALSE,FALSE,0,1.03626943005181,TRUE,TRUE,78.6,FALSE,0,TRUE,FALSE,FALSE,FALSE,39.3,FALSE,FALSE,FALSE,FALSE,1.51153846153846,1.51153846153846,28.0714285714286,Inf,5,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"45592",45592,45592,"0110d8e7-eec1-41db-8e58-3b364fc532f9","orsu","imo","southeast","5.86089363 6.96939609 154.8000030517578 5.0","Primary School, Ubaha Orsu","preprimary_and_primary","imo_orsu",614,"1346249609182.jpg","0110d8e7-eec1-41db-8e58-3b364fc532f9","preprimary_and_primary","1346249609182.jpg",8,"formal_educ",FALSE,FALSE,7,5,354,2.11976047904192,FALSE,FALSE,0,0.964705882352941,FALSE,NA,NA,FALSE,0,FALSE,FALSE,TRUE,FALSE,23.8571428571429,FALSE,FALSE,TRUE,FALSE,Inf,4.63888888888889,20.875,Inf,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"45593",45593,45593,"99f0e81d-dbcb-4ebc-a850-3d3f61d80ec4","orsu","imo","southeast","5.8376932 6.96814443 197.1999969482422 5.0","Community Primary School","junior_and_senior_sec","imo_orsu",614,"1346307716362.jpg","99f0e81d-dbcb-4ebc-a850-3d3f61d80ec4","junior_and_senior_sec","1346307716362.jpg",11,"formal_educ",FALSE,TRUE,0,NA,105,0.875,TRUE,FALSE,0,1,TRUE,TRUE,20,TRUE,0,TRUE,FALSE,TRUE,TRUE,20,FALSE,FALSE,FALSE,TRUE,1.5,1.5,10.9090909090909,3.66666666666667,10,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"45594",45594,45594,"5daf1448-bbec-4521-838e-f7e272c958cc","orsu","imo","southeast","5.83142584 6.92384136 176.10000610351563 5.0","Central School Edenta Awo Idemili","preprimary_and_primary","imo_orsu",614,"1346334690162.jpg","5daf1448-bbec-4521-838e-f7e272c958cc","preprimary_and_primary","1346334690162.jpg",8,"religious_with_formal",FALSE,FALSE,1,5,440,1.95555555555556,FALSE,FALSE,0,1.14285714285714,TRUE,FALSE,37.5,FALSE,2,FALSE,FALSE,TRUE,FALSE,28.125,FALSE,FALSE,TRUE,FALSE,32.1428571428571,3.515625,28.125,Inf,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"45595",45595,45595,"f769245d-3868-4d42-a30e-a76407f4d9ec","orsu","imo","southeast","5.8284935 6.94540112 186.39999389648438 5.0","Community Secondary School, Awo-Idemili","junior_and_senior_sec","imo_orsu",614,"1345819754918.jpg","f769245d-3868-4d42-a30e-a76407f4d9ec","junior_and_senior_sec","1345819754918.jpg",12,"formal_educ",TRUE,FALSE,10,1,70,0.02034292356873,FALSE,NA,400,1.02411764705882,FALSE,FALSE,Inf,FALSE,2,FALSE,FALSE,FALSE,FALSE,172.05,FALSE,FALSE,TRUE,FALSE,40.9642857142857,430.125,286.75,Inf,12,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
"45596",45596,45596,"b2b3c909-3f26-4c36-9e49-0b96b2239b08","orsu","imo","southeast","5.84853236 6.96259054 198.6999969482422 5.0","All Saints Nursery Primary Amihie Orsu Ihitteukwa","preprimary_and_primary","imo_orsu",614,"1346336343040.jpg","b2b3c909-3f26-4c36-9e49-0b96b2239b08","preprimary_and_primary","1346336343040.jpg",10,"formal_educ",FALSE,FALSE,3,7,59,0.305699481865285,TRUE,FALSE,0,0.723214285714286,TRUE,FALSE,64.3333333333333,FALSE,6,FALSE,FALSE,TRUE,FALSE,21.4444444444444,FALSE,FALSE,FALSE,FALSE,17.5454545454545,2.71830985915493,19.3,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"45597",45597,45597,"f55c2e38-24a2-4292-bd73-403c881352e6","orsu","imo","southeast","5.85511861 6.99422462 132.8000030517578 5.0","Community primary school assah ubirielem","preprimary_and_primary","imo_orsu",614,"1346241433025.jpg","f55c2e38-24a2-4292-bd73-403c881352e6","preprimary_and_primary","1346241433025.jpg",6,"formal_educ",FALSE,FALSE,11,4,754,2.57337883959044,FALSE,FALSE,0,1.06338028169014,TRUE,TRUE,73.25,FALSE,0,FALSE,FALSE,FALSE,FALSE,26.6363636363636,FALSE,FALSE,TRUE,FALSE,19.5333333333333,3.57317073170732,48.8333333333333,Inf,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"45598",45598,45598,"5ab5f444-99ff-48cd-9634-243e8124d9e5","orsu","imo","southeast","5.82973644 6.98925322 178.0 5.0","Central school umuhu okabia","preprimary_and_primary","imo_orsu",614,"1346155926087.jpg","5ab5f444-99ff-48cd-9634-243e8124d9e5","preprimary_and_primary","1346155926087.jpg",10,"formal_educ",FALSE,FALSE,11,8,871,2.53197674418605,FALSE,FALSE,0,1.01169590643275,TRUE,FALSE,114.666666666667,FALSE,0,FALSE,FALSE,FALSE,FALSE,31.2727272727273,FALSE,FALSE,FALSE,FALSE,11.4666666666667,3.33980582524272,34.4,5,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"education"
