"","X","X.1","uuid","mylga","mylga_state","mylga_zone","gps","school_name","level_of_education","unique_lga","X_lga_id","photo","X_id","facility_type","formhub_photo_id","num_tchrs_total","Type","school_1kmplus_catchment_area","potable_water","num_classrms_need_maj_repairs","num_tchrs_with_nce","num_textbooks","textbook_to_pupil_ratio","natl_curriculum_yn","school_1kmplus_secondary_school","students_living_3kmplus_school","male_to_female_student_ratio","education_improved_sanitation","gender_separated_toilets_yn","pupil_toilet_ratio_facility","power_access","num_classrms_need_min_repairs","covered_roof_good_condi","access_clinic_dispensary","access_first_aid","wall_fence_good_condi","pupil_classrm_ratio","classes_outside_yn","two_shifts_yn","multigrade_classrms","chalkboard_each_classroom_yn","pupil_bench_ratio","pupil_desk_ratio","pupil_tchr_ratio","teacher_nonteachingstaff_ratio","num_tchrs_attended_training","tchr_pay_delay","tchr_pay_miss","provide_exercise_books_yn","provide_pens_yn","teacher_guide_yn","functioning_library_yn","sector"
"31633",31633,31633,"fca371b6-6fca-4bb8-976c-73686e312a05","keffi","nasarawa","north_central","8.85983333 7.88653817 310.5 6.0","Kings Ambassor acedemy","preprimary_and_primary","nasarawa_keffi",427,"1342092650546.jpg","fca371b6-6fca-4bb8-976c-73686e312a05","preprimary_and_primary","1342092650546.jpg",10,"formal_educ",TRUE,TRUE,0,7,4,0.0235294117647059,TRUE,FALSE,80,1.07317073170732,FALSE,TRUE,42.5,TRUE,0,TRUE,FALSE,TRUE,FALSE,17,FALSE,FALSE,FALSE,TRUE,3.86363636363636,3.86363636363636,17,10,10,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31634",31634,31634,"bebb9be9-7b7a-43e9-9a8e-229ce6044575","keffi","nasarawa","north_central","8.85048775 7.88285741 305.0 5.0","ERCC nus/pri sch.","preprimary_only","nasarawa_keffi",427,"1342090533787.jpg","bebb9be9-7b7a-43e9-9a8e-229ce6044575","preprimary_only","1342090533787.jpg",12,"formal_educ",FALSE,TRUE,0,8,0,0,TRUE,FALSE,30,0.75,TRUE,FALSE,93.3333333333333,TRUE,0,FALSE,FALSE,TRUE,TRUE,31.1111111111111,FALSE,FALSE,FALSE,TRUE,2.33333333333333,2.33333333333333,23.3333333333333,NA,12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31635",31635,31635,"f992c6eb-2d78-4153-bad7-1ae996439004","keffi","nasarawa","north_central","8.85393167 7.88205869 318.20001220703125 5.0","Sokoga nus/pri sch","primary_and_junior_sec","nasarawa_keffi",427,"1342009031843.jpg","f992c6eb-2d78-4153-bad7-1ae996439004","primary_and_junior_sec","1342009031843.jpg",12,"formal_educ",TRUE,TRUE,0,1,NA,NA,TRUE,FALSE,40,0.833333333333333,TRUE,TRUE,6.875,TRUE,0,TRUE,FALSE,TRUE,TRUE,2.75,FALSE,FALSE,FALSE,TRUE,0.292553191489362,0.292553191489362,4.58333333333333,1.33333333333333,3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31637",31637,31637,"fe69d5a5-4be5-4928-977a-c195fb2e0bb4","keffi","nasarawa","north_central","8.85460455 7.88659664 331.6000061035156 5.0","African intl.sch","preprimary_and_primary","nasarawa_keffi",427,"1342073949749.jpg","fe69d5a5-4be5-4928-977a-c195fb2e0bb4","preprimary_and_primary","1342073949749.jpg",7,"formal_educ",FALSE,TRUE,0,2,NA,NA,TRUE,FALSE,0,3,TRUE,FALSE,2.66666666666667,TRUE,0,TRUE,FALSE,TRUE,TRUE,1.14285714285714,FALSE,FALSE,FALSE,TRUE,0.32,0.32,1.14285714285714,Inf,0,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"education"
"31638",31638,31638,"f8aef17a-1cb5-4575-b956-834247d7b4a5","keffi","nasarawa","north_central","8.84819391 7.87925581 318.3999938964844 5.0","Oxford intl. Sch.","preprimary_only","nasarawa_keffi",427,"1342097139720.jpg","f8aef17a-1cb5-4575-b956-834247d7b4a5","preprimary_only","1342097139720.jpg",8,"formal_educ",FALSE,TRUE,2,8,0,0,FALSE,FALSE,25,1.2,TRUE,TRUE,27.5,TRUE,0,TRUE,FALSE,FALSE,TRUE,13.75,FALSE,FALSE,FALSE,FALSE,1.83333333333333,1.83333333333333,13.75,Inf,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31639",31639,31639,"e88b22de-7ebe-4d9b-a91b-8b2673a939db","keffi","nasarawa","north_central","8.85370502 7.89833807 327.79998779296875 5.0","His majesty sch.","preprimary_and_primary","nasarawa_keffi",427,"1342174596500.jpg","e88b22de-7ebe-4d9b-a91b-8b2673a939db","preprimary_and_primary","1342174596500.jpg",7,"formal_educ",TRUE,TRUE,0,4,60,0.6,TRUE,TRUE,15,1.22222222222222,TRUE,FALSE,33.3333333333333,FALSE,0,TRUE,FALSE,TRUE,FALSE,14.2857142857143,FALSE,FALSE,FALSE,TRUE,2.22222222222222,2.22222222222222,14.2857142857143,Inf,7,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"education"
"31640",31640,31640,"67fe0475-b98c-4298-8654-8cb307225962","keffi","nasarawa","north_central","8.85494276 7.87507034 343.6000061035156 5.0","Royal Blossom Montessori","preprimary_and_primary","nasarawa_keffi",427,"1342094803230.jpg","67fe0475-b98c-4298-8654-8cb307225962","preprimary_and_primary","1342094803230.jpg",6,"formal_educ",FALSE,TRUE,0,3,24,0.428571428571429,TRUE,FALSE,0,0.866666666666667,TRUE,FALSE,28,TRUE,0,TRUE,FALSE,TRUE,TRUE,7,FALSE,FALSE,FALSE,TRUE,1.4,1.12,9.33333333333333,2,4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"31641",31641,31641,"b00f5232-7bed-43b9-9fa9-aa3af7ff886e","keffi","nasarawa","north_central","8.87134498 7.88131484 366.3999938964844 5.0","Child Foundation","preprimary_and_primary","nasarawa_keffi",427,"1342098930414.jpg","b00f5232-7bed-43b9-9fa9-aa3af7ff886e","preprimary_and_primary","1342098930414.jpg",15,"formal_educ",NA,FALSE,2,9,24,0.0759493670886076,TRUE,FALSE,200,0.58,TRUE,TRUE,28.7272727272727,TRUE,15,TRUE,FALSE,TRUE,TRUE,11.7037037037037,FALSE,FALSE,FALSE,FALSE,1.58,1,21.0666666666667,3.75,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"education"
"31642",31642,31642,"1c1fb526-b0e7-4cb4-ba99-3dcb6993fd9c","keffi","nasarawa","north_central","8.84647091 7.87621895 330.70001220703125 5.0","Quranic school","preprimary_and_primary","nasarawa_keffi",427,"1342169138086.jpg","1c1fb526-b0e7-4cb4-ba99-3dcb6993fd9c","preprimary_and_primary","1342169138086.jpg",32,"religious_with_formal",FALSE,FALSE,15,7,153,0.354988399071926,FALSE,TRUE,0,0.818565400843882,FALSE,NA,NA,FALSE,0,FALSE,FALSE,FALSE,FALSE,23.9444444444444,FALSE,FALSE,FALSE,FALSE,21.55,21.55,13.46875,Inf,19,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"31643",31643,31643,"dafc2982-e497-4ae8-9bb6-63e771ec6bbb","keffi","nasarawa","north_central","8.8540905 7.87469269 346.1000061035156 5.0","Prince Inter. Academy","primary_junior_and_senior_sec","nasarawa_keffi",427,"1342090171189.jpg","dafc2982-e497-4ae8-9bb6-63e771ec6bbb","primary_junior_and_senior_sec","1342090171189.jpg",22,"formal_educ",FALSE,TRUE,6,9,36,0.272727272727273,FALSE,FALSE,20,1.44444444444444,FALSE,FALSE,132,FALSE,0,FALSE,FALSE,TRUE,FALSE,22,FALSE,TRUE,TRUE,TRUE,6.6,4.88888888888889,6,Inf,4,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31644",31644,31644,"5b249a8d-0001-411c-96e3-564b66b2ac1c","keffi","nasarawa","north_central","8.90310702 7.88629588 311.79998779296875 5.0","Royal Hertage inter school","preprimary_and_primary","nasarawa_keffi",427,"1342171355814.jpg","5b249a8d-0001-411c-96e3-564b66b2ac1c","preprimary_and_primary","1342171355814.jpg",6,"formal_educ",FALSE,FALSE,4,4,20,0.476190476190476,FALSE,NA,0,1.1,FALSE,NA,NA,TRUE,4,FALSE,FALSE,TRUE,FALSE,5.25,FALSE,FALSE,FALSE,TRUE,0.6,0.28,7,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31645",31645,31645,"6170c906-5ac3-4bab-9fd2-7d914998bc0f","keffi","nasarawa","north_central","8.85138546 7.88021824 319.6000061035156 5.0","Sabilu rashad islamic Sch.","primary_junior_and_senior_sec","nasarawa_keffi",427,"1342003069911.jpg","6170c906-5ac3-4bab-9fd2-7d914998bc0f","primary_junior_and_senior_sec","1342003069911.jpg",21,"religious_with_formal",FALSE,FALSE,1,6,160,0.4,TRUE,FALSE,100,0.481481481481481,TRUE,TRUE,66.6666666666667,FALSE,4,FALSE,FALSE,TRUE,FALSE,30.7692307692308,FALSE,TRUE,TRUE,FALSE,11.4285714285714,2,19.047619047619,4.2,13,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"education"
"31646",31646,31646,"a465f9ef-83fb-4c2d-a1f6-5e0bf82c497a","keffi","nasarawa","north_central","8.82963775 7.89000791 302.1000061035156 5.0","SacobaBrithi Acadamic school","junior_and_senior_sec","nasarawa_keffi",427,"1342088156690.jpg","a465f9ef-83fb-4c2d-a1f6-5e0bf82c497a","junior_and_senior_sec","1342088156690.jpg",33,"formal_educ",FALSE,TRUE,0,0,428,10.7,TRUE,NA,0,0.666666666666667,TRUE,TRUE,5.71428571428571,TRUE,0,TRUE,FALSE,TRUE,TRUE,2.5,FALSE,FALSE,FALSE,TRUE,0.373831775700935,0.373831775700935,1.21212121212121,16.5,33,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,"education"
"31647",31647,31647,"8b505cf6-308b-43d1-867d-2544c7eb0ce2","keffi","nasarawa","north_central","8.82989246 7.88877243 306.29998779296875 5.0","Al-ihsan N/Primary School","preprimary_and_primary","nasarawa_keffi",427,"1342090497905.jpg","8b505cf6-308b-43d1-867d-2544c7eb0ce2","preprimary_and_primary","1342090497905.jpg",7,"religious_with_formal",FALSE,FALSE,0,7,600,NA,TRUE,FALSE,0,NA,TRUE,FALSE,NA,TRUE,0,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31648",31648,31648,"86a032c4-4369-4e7d-85c4-8a4a454954f6","keffi","nasarawa","north_central","8.85197454 7.88257763 318.0 5.0","Praise scholar school","preprimary_and_primary","nasarawa_keffi",427,"1342089631216.jpg","86a032c4-4369-4e7d-85c4-8a4a454954f6","preprimary_and_primary","1342089631216.jpg",9,"formal_educ",FALSE,TRUE,0,5,109,0.726666666666667,TRUE,FALSE,60,0.875,TRUE,TRUE,25,TRUE,0,TRUE,FALSE,TRUE,TRUE,16.6666666666667,FALSE,FALSE,FALSE,TRUE,1.30434782608696,1.30434782608696,16.6666666666667,9,9,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"education"
"31649",31649,31649,"f6cc77d0-7b70-4535-a66a-d8d5434eb4da","keffi","nasarawa","north_central","8.8698595 7.85835315 361.0 5.0","LGEA Prim. Sch Tilla","primary_only","nasarawa_keffi",427,"1342062121167.jpg","f6cc77d0-7b70-4535-a66a-d8d5434eb4da","primary_only","1342062121167.jpg",11,"formal_educ",FALSE,TRUE,3,6,NA,NA,TRUE,TRUE,0,1.33009708737864,FALSE,FALSE,120,FALSE,1,FALSE,FALSE,TRUE,FALSE,30,FALSE,FALSE,TRUE,TRUE,20,20,21.8181818181818,Inf,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31650",31650,31650,"d2c6f12a-4ec3-4e79-8322-0e1feb2e021c","keffi","nasarawa","north_central","8.84274975 7.91395211 350.1000061035156 5.0","LGEA Primary Sch. Angwan Lambu","primary_only","nasarawa_keffi",427,"1341974149865.jpg","d2c6f12a-4ec3-4e79-8322-0e1feb2e021c","primary_only","1341974149865.jpg",14,"formal_educ",TRUE,TRUE,5,8,NA,NA,FALSE,TRUE,0,1.10810810810811,TRUE,FALSE,234,FALSE,0,FALSE,FALSE,FALSE,FALSE,33.4285714285714,FALSE,FALSE,FALSE,TRUE,11.7,5.85,16.7142857142857,Inf,10,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"31651",31651,31651,"f332c8f6-d012-4bd7-825b-b6fc410c17a8","keffi","nasarawa","north_central","8.85420406 7.86626504 395.0 5.0","Royal Star Model School","primary_and_junior_sec","nasarawa_keffi",427,"1342165352512.jpg","f332c8f6-d012-4bd7-825b-b6fc410c17a8","primary_and_junior_sec","1342165352512.jpg",20,"formal_educ",FALSE,TRUE,0,10,36,0.363636363636364,TRUE,FALSE,8,1.67567567567568,TRUE,TRUE,24.75,TRUE,3,TRUE,FALSE,TRUE,TRUE,6.6,FALSE,FALSE,FALSE,TRUE,4.95,1.98,4.95,Inf,20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31652",31652,31652,"90c361fc-9ac4-4138-9531-4fc82be4ece6","keffi","nasarawa","north_central","8.85557365 7.87988657 324.1000061035156 5.0","Happy home acedemy","primary_junior_and_senior_sec","nasarawa_keffi",427,"1342011375218.jpg","90c361fc-9ac4-4138-9531-4fc82be4ece6","primary_junior_and_senior_sec","1342011375218.jpg",28,"formal_educ",FALSE,TRUE,10,6,NA,NA,TRUE,FALSE,NA,NA,TRUE,TRUE,NA,FALSE,0,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"31653",31653,31653,"d61fbca6-02c2-4fd0-a713-59eb971a5dc6","keffi","nasarawa","north_central","8.84494801 7.86471685 375.70001220703125 5.0","Al Iman School","primary_junior_and_senior_sec","nasarawa_keffi",427,"1342014545633.jpg","d61fbca6-02c2-4fd0-a713-59eb971a5dc6","primary_junior_and_senior_sec","1342014545633.jpg",40,"religious_with_formal",FALSE,TRUE,0,4,36,0.163636363636364,TRUE,NA,40,1.2,FALSE,TRUE,27.5,TRUE,2,TRUE,FALSE,TRUE,TRUE,14.6666666666667,FALSE,TRUE,FALSE,TRUE,5.5,0.977777777777778,5.5,4,20,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31654",31654,31654,"d7a00890-c5b0-44bc-a864-9507b93ef85d","keffi","nasarawa","north_central","8.8327033 7.87424532 331.5 5.0","Treasure Academy","preprimary_and_primary","nasarawa_keffi",427,"1342082804864.jpg","d7a00890-c5b0-44bc-a864-9507b93ef85d","preprimary_and_primary","1342082804864.jpg",8,"formal_educ",FALSE,FALSE,0,2,12,0.15,FALSE,FALSE,0,1.58064516129032,TRUE,TRUE,20,FALSE,0,FALSE,FALSE,TRUE,FALSE,16,FALSE,FALSE,FALSE,TRUE,1.9047619047619,1,10,Inf,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31655",31655,31655,"9f575028-b212-4ded-b9b4-7f31528be106","keffi","nasarawa","north_central","8.85376702 7.87485407 336.70001220703125 5.0","Rabi & Zainab Inter. Sch.","preprimary_and_primary","nasarawa_keffi",427,"1342176018742.jpg","9f575028-b212-4ded-b9b4-7f31528be106","preprimary_and_primary","1342176018742.jpg",8,"formal_educ",FALSE,FALSE,3,2,20,0.133333333333333,TRUE,FALSE,20,0.89873417721519,TRUE,FALSE,75,FALSE,5,FALSE,FALSE,FALSE,FALSE,18.75,FALSE,FALSE,FALSE,TRUE,3,Inf,18.75,Inf,1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31656",31656,31656,"12851291-87e0-4429-9bd9-a3bf3fdfa3f7","keffi","nasarawa","north_central","8.86028163 7.86735175 385.1000061035156 5.0","Rehoboth Inter. Model Academy","primary_and_junior_sec","nasarawa_keffi",427,"1342104836429.jpg","12851291-87e0-4429-9bd9-a3bf3fdfa3f7","primary_and_junior_sec","1342104836429.jpg",11,"formal_educ",FALSE,TRUE,3,9,36,0.214285714285714,TRUE,FALSE,0,0.75,TRUE,TRUE,21,TRUE,3,FALSE,FALSE,TRUE,FALSE,28,FALSE,FALSE,TRUE,TRUE,Inf,3.36,15.2727272727273,11,11,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31657",31657,31657,"5172014a-a838-4898-9bee-0f08fcaf7be3","keffi","nasarawa","north_central","8.84938882 7.8862383 312.20001220703125 5.0","Ecwa primary/GjSS","primary_and_junior_sec","nasarawa_keffi",427,"1342005967032.jpg","5172014a-a838-4898-9bee-0f08fcaf7be3","primary_and_junior_sec","1342005967032.jpg",16,"formal_educ",FALSE,FALSE,1,14,NA,NA,TRUE,NA,NA,NA,FALSE,TRUE,NA,FALSE,1,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,4,16,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31658",31658,31658,"a1f271cb-0587-42c3-a737-8f7a886f7ad1","keffi","nasarawa","north_central","8.83613933 7.88586203 319.5 5.0","Global Nursry School","preprimary_only","nasarawa_keffi",427,"1342014002301.jpg","a1f271cb-0587-42c3-a737-8f7a886f7ad1","preprimary_only","1342014002301.jpg",9,"formal_educ",FALSE,TRUE,0,7,0,0,TRUE,FALSE,0,1.2,TRUE,FALSE,16.5,TRUE,0,TRUE,FALSE,FALSE,TRUE,3.66666666666667,FALSE,FALSE,FALSE,FALSE,0.733333333333333,0.388235294117647,3.66666666666667,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31659",31659,31659,"45fb19d6-086f-41af-ae6e-f3e723886a25","keffi","nasarawa","north_central","8.84660686 7.87135868 334.8999938964844 5.0","Unicef Prim. School","primary_only","nasarawa_keffi",427,"1342087732022.jpg","45fb19d6-086f-41af-ae6e-f3e723886a25","primary_only","1342087732022.jpg",7,"formal_educ",FALSE,FALSE,1,4,NA,NA,FALSE,TRUE,85,1.24137931034483,TRUE,FALSE,130,FALSE,1,FALSE,FALSE,FALSE,FALSE,32.5,FALSE,FALSE,TRUE,FALSE,Inf,Inf,18.5714285714286,Inf,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"31660",31660,31660,"54ca149e-5f13-40ac-bd0b-4d657df1fdae","keffi","nasarawa","north_central","8.83485153 7.88636479 290.70001220703125 5.0","Royal Day Acadamic","preprimary_and_primary","nasarawa_keffi",427,"1342086822742.jpg","54ca149e-5f13-40ac-bd0b-4d657df1fdae","preprimary_and_primary","1342086822742.jpg",8,"formal_educ",FALSE,TRUE,0,7,240,NA,TRUE,FALSE,0,NA,TRUE,FALSE,NA,TRUE,0,TRUE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,TRUE,NA,NA,NA,Inf,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"education"
"31661",31661,31661,"b1e3cf52-0dd3-49b8-a27a-0bc33f866789","keffi","nasarawa","north_central","8.84476879 7.8832732 330.0 5.0","GJSS St. Peter keffi","primary_and_junior_sec","nasarawa_keffi",427,"1341920231121.jpg","b1e3cf52-0dd3-49b8-a27a-0bc33f866789","primary_and_junior_sec","1341920231121.jpg",10,"formal_educ",FALSE,TRUE,0,3,NA,NA,TRUE,FALSE,5,1.30769230769231,TRUE,FALSE,100,FALSE,2,TRUE,FALSE,TRUE,TRUE,15,FALSE,TRUE,FALSE,FALSE,3.52941176470588,0.828729281767956,30,1,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
"31662",31662,31662,"51f3589e-8188-4daf-a4c7-2dd593b337dd","keffi","nasarawa","north_central","8.84468598 7.88331284 321.0 5.0","St. Pilot Primaty School keffi","preprimary_and_primary","nasarawa_keffi",427,"1341921223065.jpg","51f3589e-8188-4daf-a4c7-2dd593b337dd","preprimary_and_primary","1341921223065.jpg",20,"formal_educ",FALSE,FALSE,1,13,145,0.116,TRUE,FALSE,0,0.923076923076923,TRUE,TRUE,312.5,FALSE,3,TRUE,FALSE,FALSE,TRUE,62.5,FALSE,TRUE,FALSE,FALSE,10,7.57575757575758,62.5,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"education"
