"","X","X.1","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn","sector"
"18044",18044,18044,"128ecb50-86eb-49f6-8053-9069c1865b5b","shomgom","gombe","northeast",681,"1339585103666.jpg","gombe_shongom","128ecb50-86eb-49f6-8053-9069c1865b5b","1339585103666.jpg","9.593912959098816 11.189902424812317 422.0 4.0","Kushi-Kauri maternity clinic  ","maternity",FALSE,TRUE,TRUE,FALSE,FALSE,4,TRUE,FALSE,4,0,0,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,TRUE,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"18045",18045,18045,"70ac028a-ba04-4133-9412-355d4da36333","shomgom","gombe","northeast",681,"1339747747281.jpg","gombe_shongom","70ac028a-ba04-4133-9412-355d4da36333","1339747747281.jpg","9.57354209 11.09446825 417.29998779296875 5.0","Alheri clinic gwandum","healthpostdispensary",FALSE,NA,NA,FALSE,FALSE,1,NA,FALSE,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,"health"
"18046",18046,18046,"ee11c013-b309-4c76-b9b7-05f8db1e7301","shomgom","gombe","northeast",681,"1339753062332.jpg","gombe_shongom","ee11c013-b309-4c76-b9b7-05f8db1e7301","1339753062332.jpg","9.778878092765808 11.280797123908997 572.0 4.0","Kalaku Health clinic","primaryhealthcarecentre",FALSE,FALSE,TRUE,FALSE,TRUE,6,TRUE,FALSE,6,0,1,0,2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,"health"
"18047",18047,18047,"bb4f3171-b35e-4d74-b129-e0c88dce0309","shomgom","gombe","northeast",681,"1339501053751.jpg","gombe_shongom","bb4f3171-b35e-4d74-b129-e0c88dce0309","1339501053751.jpg","9.6349552 11.33836875 363.3999938964844 5.0","Maternity Health clinic","maternity",FALSE,TRUE,TRUE,FALSE,FALSE,4,TRUE,FALSE,4,0,0,0,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"health"
"18048",18048,18048,"f9fd8906-19bd-4a26-8504-bab576e97bf7","shomgom","gombe","northeast",681,"1339505210287.jpg","gombe_shongom","f9fd8906-19bd-4a26-8504-bab576e97bf7","1339505210287.jpg","9.599454402923584 11.018407344818115 338.0 2.0","fugula clenic","healthpostdispensary",FALSE,NA,NA,FALSE,FALSE,1,FALSE,FALSE,1,0,0,0,0,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"health"
"18049",18049,18049,"e25ea0de-fac7-4db3-8e5c-f93d1aefabe5","shomgom","gombe","northeast",681,"1339589853119.jpg","gombe_shongom","e25ea0de-fac7-4db3-8e5c-f93d1aefabe5","1339589853119.jpg","9.60548257 11.20724627 448.29998779296875 8.0","Kushi Gomle Maternity Clinic","maternity",FALSE,TRUE,NA,FALSE,FALSE,3,TRUE,FALSE,3,NA,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,"health"
"18050",18050,18050,"49b88d83-6e07-4dbe-916d-ab2eeff2751a","shomgom","gombe","northeast",681,"1339500448487.jpg","gombe_shongom","49b88d83-6e07-4dbe-916d-ab2eeff2751a","1339500448487.jpg","9.56691809 11.02685912 366.20001220703125 43.0","Gundale M Clinic","maternity",TRUE,TRUE,TRUE,FALSE,FALSE,2,FALSE,FALSE,2,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,"health"
"18051",18051,18051,"b5ef5f4b-4737-4960-ab22-091bca06f105","shomgom","gombe","northeast",681,"1339509521826.jpg","gombe_shongom","b5ef5f4b-4737-4960-ab22-091bca06f105","1339509521826.jpg","9.61940444 11.27082239 415.5 5.0","Burak Maternity Clinic","maternity",FALSE,TRUE,NA,FALSE,FALSE,4,TRUE,FALSE,3,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"health"
"18052",18052,18052,"54d81392-5f3c-48e1-8414-674418cab353","shomgom","gombe","northeast",681,"1339759030918.jpg","gombe_shongom","54d81392-5f3c-48e1-8414-674418cab353","1339759030918.jpg","9.58560664 11.27269451 378.3999938964844 5.0","Nyalimi. Maternity Clinicy","maternity",FALSE,NA,NA,FALSE,FALSE,0,FALSE,FALSE,0,NA,0,NA,NA,TRUE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"health"
"18053",18053,18053,"761e762b-8461-481e-b028-b1a583d3ec12","shomgom","gombe","northeast",681,"1339663275633.jpg","gombe_shongom","761e762b-8461-481e-b028-b1a583d3ec12","1339663275633.jpg","9.782987236976624 11.272026300430298 590.0 4.0","karel maternity","maternity",TRUE,TRUE,NA,FALSE,FALSE,12,TRUE,FALSE,12,0,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
"18054",18054,18054,"ef6808f6-9f45-4750-84a3-419096b76e8f","shomgom","gombe","northeast",681,"1339597042097.jpg","gombe_shongom","ef6808f6-9f45-4750-84a3-419096b76e8f","1339597042097.jpg","9.57635227 11.09829176 395.0 5.0","Pero maternity clinic","maternity",TRUE,TRUE,TRUE,FALSE,FALSE,5,FALSE,TRUE,5,NA,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,"health"
"18055",18055,18055,"4aeed621-6267-4af8-8cbc-b2d157b8355e","shomgom","gombe","northeast",681,"1339499402738.jpg","gombe_shongom","4aeed621-6267-4af8-8cbc-b2d157b8355e","1339499402738.jpg","9.69103857 11.1354819 375.5 5.0","Jaurosajo hearth clinic","primaryhealthclinic",FALSE,FALSE,NA,TRUE,FALSE,4,TRUE,FALSE,4,NA,0,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"18056",18056,18056,"802a8129-8cd8-417d-8841-9a9ab4d93a8a","shomgom","gombe","northeast",681,"1339691107053.jpg","gombe_shongom","802a8129-8cd8-417d-8841-9a9ab4d93a8a","1339691107053.jpg","9.6347617 11.05017218 448.0 5.0","Popandi","primaryhealthclinic",TRUE,TRUE,NA,FALSE,FALSE,1,TRUE,FALSE,1,0,0,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,"health"
"18057",18057,18057,"e4836281-0450-4c93-b1d8-565e667ca9fc","shomgom","gombe","northeast",681,"1339594770768.jpg","gombe_shongom","e4836281-0450-4c93-b1d8-565e667ca9fc","1339594770768.jpg","9.743483662605286 11.199386715888977 524.0 4.0","pokato maternity","maternity",FALSE,NA,TRUE,FALSE,FALSE,2,FALSE,FALSE,0,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,"health"
