antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
,477.7137096,True,True,True,,,,,,,,,,True,True,TRUE,,,,True,True,,True,True,,,,victory clinic,TRUE,cottagehospital,,True,,True,1338031326169.jpg,5.54560124874115 6.223272085189819 26.0 4.0,,,,,,,,TRUE,True,,,,,,,,Isoko north,368,368,368.0,,True,,True,True,,,,,,,isoko_north,delta,south_south,1,1,2.0,1.0,2.0,7.0,,,,,1338031326169.jpg,144155,301.760232338,,,,health,True,,Delta,False,True,Others,TRUE,delta_isoko_north,,fd5869d4-53a5-412f-8e7b-4cb17c77284e,,,fd5869d4-53a5-412f-8e7b-4cb17c77284e,South-South
False,477.7137096,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,OTIBIO PHC,,primaryhealthcarecentre,False,True,False,True,1338290663797.jpg,5.56482523 6.1706041 37.20000076293945 5.0,False,True,FALSE,False,True,True,False,FALSE,,False,True,False,False,False,False,False,Isoko north,368,368,368.0,False,False,True,False,False,False,False,False,False,False,FALSE,isoko_north,delta,south_south,4,1,0.0,0.0,0.0,0.0,False,public,False,True,1338290663797.jpg,144155,301.760232338,True,False,False,health,False,TRUE,Delta,False,True,Others,FALSE,delta_isoko_north,False,0e8d9eac-cf87-4f7b-b107-009b5733e2c2,,,0e8d9eac-cf87-4f7b-b107-009b5733e2c2,South-South
False,477.7137096,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,,Ovrode Primary Health Care center,TRUE,primaryhealthcarecentre,False,True,False,True,1338206120625.jpg,5.58853554 6.32764094 38.900001525878906 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Isoko north,368,368,368.0,False,True,True,True,True,False,False,False,False,False,FALSE,isoko_north,delta,south_south,1,1,0.0,0.0,1.0,0.0,False,public,False,True,1338206120625.jpg,144155,301.760232338,False,False,False,health,True,TRUE,Delta,False,True,Others,FALSE,delta_isoko_north,False,f5e0da10-ee7d-4109-b34d-0a41f4056a21,,,f5e0da10-ee7d-4109-b34d-0a41f4056a21,South-South
,477.7137096,False,False,True,,,,,,,,,,,False,FALSE,,,,True,True,,,,,,,uvie clinic,TRUE,maternity,,,,,1338218855274.jpg,5.5351245403289795 6.216781139373779 3.0 4.0,,,,,,,,TRUE,,,,,,,,,Isoko north,368,368,368.0,,True,,True,True,,,,,,,isoko_north,delta,south_south,2,2,0.0,0.0,0.0,2.0,,,,,1338218855274.jpg,144155,301.760232338,,,,health,True,,Delta,,True,Others,FALSE,delta_isoko_north,,c55c06b8-e840-48bc-a011-04e960e21d32,,,c55c06b8-e840-48bc-a011-04e960e21d32,South-South
False,477.7137096,True,True,True,False,False,False,False,False,False,False,True,False,False,True,TRUE,False,,,True,True,False,True,False,False,,,Govt. Hospital Ofagbe,TRUE,generalhospital,False,,False,,1338211331336.jpg,5.54852835 6.35179443 37.099998474121094 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Isoko north,368,368,368.0,False,True,True,True,True,False,False,False,False,False,FALSE,isoko_north,delta,south_south,0,0,2.0,0.0,6.0,2.0,False,public,,True,1338211331336.jpg,144155,301.760232338,True,False,False,health,True,TRUE,Delta,,True,Others,FALSE,delta_isoko_north,False,ea685d74-a94b-446a-bce0-1c1cec8fec6e,,,ea685d74-a94b-446a-bce0-1c1cec8fec6e,South-South
False,477.7137096,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,True,IWRIDE PHC,TRUE,primaryhealthcarecentre,False,True,False,True,1338120838905.jpg,5.45974974 6.0925303 34.20000076293945 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Isoko north,368,368,368.0,False,True,True,True,False,False,False,False,False,False,FALSE,isoko_north,delta,south_south,1,1,0.0,0.0,1.0,0.0,False,public,False,True,1338120838905.jpg,144155,301.760232338,True,False,False,health,True,TRUE,Delta,False,False,Others,FALSE,delta_isoko_north,False,51952721-09d4-49ab-89ce-85416bb10eb1,,,51952721-09d4-49ab-89ce-85416bb10eb1,South-South
False,477.7137096,False,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,False,False,False,,True,Ekiugbo-Iyede PHC,TRUE,primaryhealthcarecentre,False,True,False,True,1338191497404.jpg,5.47807933 6.07315394 32.400001525878906 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Isoko north,368,368,368.0,False,True,True,True,True,False,False,False,False,False,FALSE,isoko_north,delta,south_south,0,0,0.0,0.0,1.0,2.0,False,public,False,True,1338191497404.jpg,144155,301.760232338,False,False,False,health,True,TRUE,Delta,False,True,Others,FALSE,delta_isoko_north,False,ea22d5f9-d6a9-419e-a16b-16741571eb91,,,ea22d5f9-d6a9-419e-a16b-16741571eb91,South-South
,477.7137096,False,False,False,,,,,,,,,,True,True,TRUE,,,,True,True,,True,False,,,,alaka hospital,TRUE,comprehensivehealthcentre,,,,,1338051362237.jpg,5.549565553665161 6.227644085884094 43.0 4.0,,,,,,,,TRUE,True,,,,,,,,Isoko north,368,368,368.0,,True,,True,True,,,,,,,isoko_north,delta,south_south,2,2,1.0,0.0,0.0,0.0,,,,,1338051362237.jpg,144155,301.760232338,,,,health,True,,Delta,,True,Others,FALSE,delta_isoko_north,,1a45e0d8-35c7-4082-9864-87dae5d177d0,,,1a45e0d8-35c7-4082-9864-87dae5d177d0,South-South
False,477.7137096,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,True,AKIEWHE PHC,TRUE,primaryhealthcarecentre,False,True,False,True,1338275014218.jpg,5.51562976 6.16430563 33.900001525878906 5.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Isoko north,368,368,368.0,False,True,False,True,True,False,False,False,False,False,FALSE,isoko_north,delta,south_south,1,1,0.0,0.0,1.0,0.0,False,public,False,True,1338275014218.jpg,144155,301.760232338,True,False,False,health,True,TRUE,Delta,False,True,Others,FALSE,delta_isoko_north,False,05a0cc11-1ac8-4787-a67d-b4b22eea4508,,,05a0cc11-1ac8-4787-a67d-b4b22eea4508,South-South
False,477.7137096,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,True,False,,,Otor-Iyede PHC,TRUE,primaryhealthcarecentre,False,True,False,True,1338108123750.jpg,5.44616931 6.10379646 11.699999809265137 5.0,False,True,FALSE,False,,,False,TRUE,True,False,True,False,True,False,False,False,Isoko north,368,368,368.0,False,True,False,True,True,False,False,False,False,False,FALSE,isoko_north,delta,south_south,0,0,0.0,0.0,0.0,0.0,False,public,False,True,1338108123750.jpg,144155,301.760232338,True,False,False,health,False,TRUE,Delta,False,True,Others,FALSE,delta_isoko_north,False,aa12b968-fb42-48c4-a811-35051495b5e1,,,aa12b968-fb42-48c4-a811-35051495b5e1,South-South
