antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,372.3852151,False,False,True,True,False,True,False,True,True,True,True,False,,False,FALSE,False,,,False,True,False,,,False,False,,health centre nkari,FALSE,primaryhealthcarecentre,False,,False,,1342538653494.jpg,5.4011160135269165 7.658940553665161 132.0 4.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,False,False,False,False,Ini,350,350,350.0,False,True,False,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,2,2,0.0,0.0,2.0,1.0,False,public,False,False,1342538653494.jpg,99196,266.380070899,,False,False,health,True,TRUE,Akwa Ibom,,True,148,FALSE,akwa_ibom_ini,False,2ae66a11-9c45-46fb-b23a-87f2d67a7470,False,False,2ae66a11-9c45-46fb-b23a-87f2d67a7470,South-South
False,372.3852151,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Health Centre,TRUE,primaryhealthcarecentre,False,True,False,True,1342184508087.jpg,5.336260199546814 7.807819247245789 37.0 4.0,False,True,FALSE,False,,,False,TRUE,,True,False,False,False,False,False,False,Ini,350,350,350.0,False,True,True,True,True,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,2,1,0.0,0.0,1.0,0.0,False,public,False,False,1342184508087.jpg,99196,266.380070899,False,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,False,d3b6caae-b72b-4195-82c6-9ebfd341ca5d,,,d3b6caae-b72b-4195-82c6-9ebfd341ca5d,South-South
False,372.3852151,False,False,False,True,False,False,False,False,True,True,True,False,,False,FALSE,False,,,False,True,False,,,False,,True,"Out-Reach Health Centre,Ekoi Ikpe",FALSE,healthpostdispensary,False,True,False,True,1342437652265.jpg,5.392366647720337 7.724305987358093 64.0 4.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,True,False,False,False,Ini,350,350,350.0,False,True,True,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,2,0,0.0,0.0,1.0,0.0,False,public,False,False,1342437652265.jpg,99196,266.380070899,,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,False,41d0b855-cc7a-45d5-bf15-4f4f24e04af5,,,41d0b855-cc7a-45d5-bf15-4f4f24e04af5,South-South
False,372.3852151,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Health Centre,TRUE,primaryhealthcarecentre,False,True,False,True,1342184508087.jpg,5.336260199546814 7.807819247245789 37.0 4.0,False,True,FALSE,False,,,False,TRUE,,True,False,False,False,False,False,False,Ini,350,350,350.0,False,True,True,True,True,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,2,1,0.0,0.0,1.0,0.0,False,public,False,False,1342184508087.jpg,99196,266.380070899,False,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,False,d3b6caae-b72b-4195-82c6-9ebfd341ca5d,,,d3b6caae-b72b-4195-82c6-9ebfd341ca5d,South-South
False,372.3852151,False,False,True,True,False,True,False,True,True,True,True,False,,False,FALSE,False,,,False,True,False,,,False,False,,health centre nkari,FALSE,primaryhealthcarecentre,False,,False,,1342538653494.jpg,5.4011160135269165 7.658940553665161 132.0 4.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,False,False,False,False,Ini,350,350,350.0,False,True,False,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,2,2,0.0,0.0,2.0,1.0,False,public,False,False,1342538653494.jpg,99196,266.380070899,,False,False,health,True,TRUE,Akwa Ibom,,True,148,FALSE,akwa_ibom_ini,False,2ae66a11-9c45-46fb-b23a-87f2d67a7470,False,False,2ae66a11-9c45-46fb-b23a-87f2d67a7470,South-South
False,372.3852151,False,False,False,True,False,False,False,False,True,True,True,False,,False,FALSE,False,,,False,True,False,,,False,,True,"Out-Reach Health Centre,Ekoi Ikpe",FALSE,healthpostdispensary,False,True,False,True,1342437652265.jpg,5.392366647720337 7.724305987358093 64.0 4.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,True,False,False,False,Ini,350,350,350.0,False,True,True,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,2,0,0.0,0.0,1.0,0.0,False,public,False,False,1342437652265.jpg,99196,266.380070899,,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,False,41d0b855-cc7a-45d5-bf15-4f4f24e04af5,,,41d0b855-cc7a-45d5-bf15-4f4f24e04af5,South-South
False,372.3852151,False,False,True,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,"Health Centre,Ikpe Ikot Nkon",FALSE,primaryhealthcarecentre,False,True,False,True,1342093205594.jpg,5.393021106719971 7.780863046646118 45.0 4.0,False,True,FALSE,False,,,False,TRUE,,True,False,False,True,False,False,False,Ini,350,350,350.0,False,True,True,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,11,8,0.0,0.0,2.0,0.0,False,public,,False,1342093205594.jpg,99196,266.380070899,,False,False,health,True,TRUE,Akwa Ibom,False,True,148,TRUE,akwa_ibom_ini,False,ef732e68-64d4-444c-a40f-ab1340961698,,,ef732e68-64d4-444c-a40f-ab1340961698,South-South
False,372.3852151,True,True,True,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,False,False,False,False,True,primary health center,FALSE,primaryhealthcarecentre,False,True,False,True,1342095195184.jpg,5.357814431190491 7.756294012069702 137.0 3.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,False,False,False,Ini,350,350,350.0,False,True,True,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,10,7,0.0,1.0,16.0,10.0,False,public,False,False,1342095195184.jpg,99196,266.380070899,True,False,False,health,True,TRUE,Akwa Ibom,False,True,148,TRUE,akwa_ibom_ini,False,ec180411-01ad-4826-9637-f6311467e804,False,False,ec180411-01ad-4826-9637-f6311467e804,South-South
False,372.3852151,True,True,True,True,True,True,False,True,True,True,True,True,False,True,TRUE,False,,,True,True,False,True,False,False,,True,General Hospital,TRUE,generalhospital,False,True,False,True,1342527047948.jpg,5.395596027374268 7.773900032043457 75.0 4.0,False,True,FALSE,False,True,True,False,TRUE,True,True,True,False,True,True,False,False,Ini,350,350,350.0,False,True,True,True,True,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,2,2,2.0,1.0,11.0,13.0,False,public,,True,1342527047948.jpg,99196,266.380070899,,False,False,health,True,TRUE,Akwa Ibom,True,True,148,FALSE,akwa_ibom_ini,False,6ce9951d-05e9-4992-9644-78d225b58304,,,6ce9951d-05e9-4992-9644-78d225b58304,South-South
False,372.3852151,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,health centre,TRUE,primaryhealthcarecentre,False,True,False,True,1342094555183.jpg,5.392999649047852 7.780846953392029 60.0 4.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,True,False,False,False,Ini,350,350,350.0,False,True,True,True,True,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,5,4,0.0,0.0,1.0,0.0,False,public,False,False,1342094555183.jpg,99196,266.380070899,,False,False,health,True,TRUE,Akwa Ibom,False,True,148,TRUE,akwa_ibom_ini,False,b1ff4f22-302e-48f3-8015-585fd3e83de9,,,b1ff4f22-302e-48f3-8015-585fd3e83de9,South-South
False,372.3852151,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,"Health Centre, Ogu Itumbonuso",FALSE,primaryhealthcarecentre,False,True,False,True,1342180325450.jpg,5.453553199768066 7.750205397605896 42.0 4.0,False,True,FALSE,False,False,False,False,FALSE,,True,False,False,True,False,False,False,Ini,350,350,350.0,False,True,True,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,3,3,0.0,0.0,2.0,1.0,False,public,False,False,1342180325450.jpg,99196,266.380070899,False,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,False,e6641c0e-2c84-4311-b1b3-9bd58800bb3d,,,e6641c0e-2c84-4311-b1b3-9bd58800bb3d,South-South
False,372.3852151,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Health post,,healthpostdispensary,False,True,False,False,1342180058783.jpg,5.482585430145264 7.71489679813385 114.0 4.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,True,False,False,False,Ini,350,350,350.0,False,True,False,False,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,3,1,0.0,0.0,0.0,1.0,False,public,False,False,1342180058783.jpg,99196,266.380070899,,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,False,ef5d2401-5857-48b6-9eef-07b8589bc1d7,,,ef5d2401-5857-48b6-9eef-07b8589bc1d7,South-South
False,372.3852151,True,True,True,True,False,True,False,False,False,False,True,False,,False,FALSE,False,,,False,True,False,,,False,,True,Health Centre Mbiabet lkpe,TRUE,primaryhealthcarecentre,False,False,False,True,1342184215453.jpg,5.336244106292725 7.80779242515564 44.0 4.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,True,False,False,False,Ini,350,350,350.0,False,True,False,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,0,0,,,5.0,2.0,False,public,False,False,1342184215453.jpg,99196,266.380070899,,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,False,89b0d3a1-c4bb-4b10-96d6-560de6407aa4,,,89b0d3a1-c4bb-4b10-96d6-560de6407aa4,South-South
,372.3852151,False,False,False,,,,,,,,,,,False,FALSE,,0.000603619778937,0.0670508850862,False,True,,,,,,,Health Centre,,primaryhealthcarecentre,,True,,True,1342434478313.jpg,5.30489981174469 7.776437401771545 56.0 4.0,,,,,,,,FALSE,,,,,,,,,Ini,350,350,331.0,,False,,False,False,,,,,,,ini,akwa_ibom,south_south,2,2,0.0,0.0,0.0,1.0,,,,,1342434478313.jpg,99196,266.380070899,,,,health,True,,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,,18d843aa-b146-41eb-9b58-25ad787ecda0,,,18d843aa-b146-41eb-9b58-25ad787ecda0,South-South
False,372.3852151,False,False,False,True,False,False,False,False,True,True,False,False,,False,FALSE,False,,,False,True,False,,,False,,True,Health post mbiafun,TRUE,healthpostdispensary,False,True,False,False,1342455655351.jpg,5.335053205490112 7.674121856689453 146.0 3.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Ini,350,350,350.0,False,True,False,True,True,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,2,2,0.0,0.0,1.0,0.0,False,public,False,False,1342455655351.jpg,99196,266.380070899,False,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,False,15680976-845e-4e44-81f3-552bf6c6738b,,,15680976-845e-4e44-81f3-552bf6c6738b,South-South
False,372.3852151,False,False,False,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,"Health Centre, Obotme",FALSE,primaryhealthcarecentre,False,False,False,True,1342269942889.jpg,5.4012662172317505 7.83424973487854 67.0 4.0,False,True,FALSE,False,True,True,False,FALSE,,True,True,False,True,False,False,False,Ini,350,350,350.0,False,True,True,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,4,2,0.0,0.0,1.0,0.0,False,public,,False,1342269942889.jpg,99196,266.380070899,,False,False,health,True,FALSE,Akwa Ibom,False,True,148,TRUE,akwa_ibom_ini,False,7057e042-5d74-4e04-92b1-dc0c0758242a,,,7057e042-5d74-4e04-92b1-dc0c0758242a,South-South
False,372.3852151,False,False,False,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Health Post,,healthpostdispensary,False,,False,,1342439095604.jpg,5.3021639585494995 7.790873050689697 80.0 4.0,False,True,FALSE,False,False,False,False,FALSE,,False,False,False,False,False,False,False,Ini,350,350,350.0,False,True,False,False,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,2,1,0.0,0.0,0.0,1.0,False,public,False,False,1342439095604.jpg,99196,266.380070899,True,False,False,health,True,TRUE,Akwa Ibom,,True,148,FALSE,akwa_ibom_ini,False,429705be-da9b-4237-ad99-da396c4d8989,,,429705be-da9b-4237-ad99-da396c4d8989,South-South
False,372.3852151,True,True,True,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,False,True,Odoro  lkpe Primary Health Centre,FALSE,primaryhealthcarecentre,False,True,False,True,1342095480583.jpg,5.357782244682312 7.756304740905762 130.0 4.0,False,True,FALSE,False,True,True,False,TRUE,,True,True,False,True,False,False,False,Ini,350,350,350.0,False,True,True,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,11,8,0.0,1.0,16.0,10.0,False,public,False,False,1342095480583.jpg,99196,266.380070899,True,False,False,health,True,TRUE,Akwa Ibom,False,True,148,TRUE,akwa_ibom_ini,False,c1d8bf7c-d6da-4494-8c31-488328941ade,False,False,c1d8bf7c-d6da-4494-8c31-488328941ade,South-South
False,372.3852151,False,False,False,True,False,False,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,health centre usuk ibakesi,FALSE,primaryhealthcarecentre,False,True,False,True,1342181962129.jpg,5.327349901199341 7.730984687805176 110.0 4.0,False,True,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Ini,350,350,350.0,False,True,False,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,2,1,0.0,0.0,1.0,0.0,False,public,False,False,1342181962129.jpg,99196,266.380070899,False,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,False,9337b7ec-8ff5-423d-bc3c-a095589612fe,,,9337b7ec-8ff5-423d-bc3c-a095589612fe,South-South
False,372.3852151,True,True,True,True,True,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,False,True,primary health care mbiaobong,FALSE,primaryhealthclinic,False,True,False,True,1342107134529.jpg,5.334511399269104 7.696244716644287 170.0 4.0,False,True,FALSE,False,True,True,False,TRUE,False,True,False,False,False,False,False,False,Ini,350,350,350.0,False,True,True,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,3,1,0.0,0.0,8.0,4.0,False,public,False,True,1342107134529.jpg,99196,266.380070899,False,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,False,7d2c6776-a603-4bd5-bb24-56047bd57e4e,False,False,7d2c6776-a603-4bd5-bb24-56047bd57e4e,South-South
False,372.3852151,False,False,False,True,False,False,False,False,True,True,False,False,,False,FALSE,False,0.0181852190998,2.02002635887,False,True,False,,,False,,True,Health Centre Edem idim,TRUE,wardmodelphccentre,False,True,False,False,1342547638734.jpg,5.305967330932617 7.731295824050903 133.0 4.0,False,True,FALSE,False,,,False,TRUE,,True,False,False,False,False,False,False,Ini,350,350,331.0,False,True,True,True,True,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,3,3,0.0,0.0,1.0,0.0,False,public,False,False,1342547638734.jpg,99196,266.380070899,,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,False,3746e771-7703-45bf-a39a-b6ca65f8927b,,,3746e771-7703-45bf-a39a-b6ca65f8927b,South-South
False,372.3852151,True,True,True,True,False,True,False,False,False,False,True,False,,False,FALSE,False,,,False,True,False,,,False,,True,Health Centre Mbiabet lkpe,TRUE,primaryhealthcarecentre,False,False,False,True,1342184215453.jpg,5.336244106292725 7.80779242515564 44.0 4.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,True,False,False,False,Ini,350,350,350.0,False,True,False,True,False,False,False,False,False,False,FALSE,ini,akwa_ibom,south_south,0,0,,,5.0,2.0,False,public,False,False,1342184215453.jpg,99196,266.380070899,,False,False,health,True,TRUE,Akwa Ibom,False,True,148,FALSE,akwa_ibom_ini,False,89b0d3a1-c4bb-4b10-96d6-560de6407aa4,,,89b0d3a1-c4bb-4b10-96d6-560de6407aa4,South-South
