antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,953.9856429,False,False,False,True,True,True,True,True,True,True,True,True,False,False,yes,True,,,,False,True,False,False,False,True,False,Community Reproductive Referral Health Centre,yes,primaryhealthcarecentre,True,True,True,True,1300803400535.jpg,6.335919499397278 6.748904585838318 47.0 4.0,True,True,no,,True,True,True,yes,True,True,False,False,False,False,False,False,Anambra West,48,48,48.0,False,True,True,True,True,True,False,True,True,True,,ANAMBRA_WEST,anambra,southeast,1,0,0.0,0.0,1.0,0.0,True,public,False,False,1300803400535.jpg,167416,175.491110633,True,True,True,health,True,no,Anambra,False,True,113,no,anambra_anambra_west,True,16783c3fb0d65b895f05b48d47727506,True,True,6080,Southeast
False,953.9856429,False,False,False,True,False,True,True,False,True,True,True,True,,,no,,,,,False,,,,False,False,True,Udiora PHC,yes,primaryhealthcarecentre,False,False,False,False,1300788595911.jpg,6.309928894042969 6.755926609039307 41.0 4.0,True,True,no,False,True,True,True,yes,,,False,False,False,False,False,False,Anambra West,48,48,48.0,False,False,False,False,False,True,False,True,False,False,,ANAMBRA_WEST,anambra,southeast,2,2,0.0,0.0,0.0,0.0,False,public,False,False,1300788595911.jpg,167416,175.491110633,False,False,False,health,False,no,Anambra,False,False,113,no,anambra_anambra_west,False,64e8e21ece387278d679ff2e187c4dba,True,True,8372,Southeast
False,953.9856429,False,False,False,True,False,True,True,True,True,True,False,True,,,no,,0.00314439694652,0.348894268945,,False,,,,False,False,True,Alla and Onugwa Health Centre,yes,primaryhealthclinic,False,False,False,False,1301404166379.jpg,6.542787551879883 6.676892638206482 39.0 4.0,False,False,no,False,False,False,False,no,,,False,False,False,False,False,False,Anambra West,48,48,283.0,False,False,False,False,False,True,False,True,True,False,,ANAMBRA_WEST,anambra,southeast,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1301404166379.jpg,167416,175.491110633,False,False,True,health,False,yes,Anambra,False,False,113,no,anambra_anambra_west,False,eac6b55ab4ab47a8cc39779d523c35e8,,True,6094,Southeast
False,953.9856429,False,False,False,False,False,False,True,False,False,False,False,False,,,no,,,,,False,,,,True,True,True,Mmiata Anam Promary Health centre,yes,primaryhealthcarecentre,False,False,False,False,1300966053702.jpg,6.41901433467865 6.789996027946472 41.0 6.0,True,True,no,,True,True,True,yes,,True,False,False,False,False,False,False,Anambra West,48,48,48.0,False,True,True,False,False,True,True,True,True,True,,ANAMBRA_WEST,anambra,southeast,2,2,0.0,0.0,0.0,0.0,True,public,False,False,1300966053702.jpg,167416,175.491110633,False,False,True,health,True,no,Anambra,False,True,113,no,anambra_anambra_west,True,fc1a9f98468d07ebca81e9197655407f,,True,1475,Southeast
False,953.9856429,False,False,False,True,False,True,True,True,True,True,True,True,,,no,False,,,,False,,,,True,True,,Model Primary Health Center,yes,primaryhealthcarecentre,False,False,False,False,1301326046387.jpg,6.45672082901001 6.717699766159058 63.0 4.0,True,False,yes,False,True,True,True,yes,,,False,False,False,False,False,False,Anambra West,48,48,48.0,False,True,True,False,False,False,True,True,True,False,,ANAMBRA_WEST,anambra,southeast,0,0,0.0,0.0,0.0,0.0,False,public,False,False,1301326046387.jpg,167416,175.491110633,False,False,True,health,False,no,Anambra,False,True,113,no,anambra_anambra_west,True,315202129e05dc08c0135d292c021b1e,True,True,6016,Southeast
False,953.9856429,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,True,True,Umudeze Community health centre,yes,primaryhealthcarecentre,False,False,False,False,1300974726719.jpg,6.416557431221008 6.788735389709473 41.0 4.0,True,True,no,False,False,False,True,yes,,True,False,False,False,False,False,False,Anambra West,48,48,48.0,False,True,True,False,False,True,True,True,True,True,yes,ANAMBRA_WEST,anambra,southeast,3,3,0.0,0.0,0.0,0.0,True,public,True,False,1300974726719.jpg,167416,175.491110633,True,True,True,health,False,no,Anambra,False,True,113,no,anambra_anambra_west,True,27f2dbe45fd886ed51618d15b46109f4,,True,1503,Southeast
False,953.9856429,False,False,False,True,False,True,True,False,True,True,False,True,,,no,,,,,False,,,,False,False,True,Primary Health Care Igbokenyi,yes,primaryhealthcarecentre,False,False,False,False,1301395673829.jpg,6.462181806564331 6.693516969680786 40.0 4.0,True,True,no,False,True,True,False,yes,,True,False,False,False,False,False,False,Anambra West,48,48,48.0,False,False,True,False,False,True,False,True,True,True,,ANAMBRA_WEST,anambra,southeast,3,0,0.0,0.0,0.0,0.0,True,,False,False,1301395673829.jpg,167416,175.491110633,False,False,True,health,False,yes,Anambra,False,True,113,no,anambra_anambra_west,False,20fd43e067643e2e2485212b4f4475cf,,True,6112,Southeast
False,953.9856429,False,False,False,False,False,False,,False,False,False,False,False,,,no,,,,,False,,,,True,False,False,St Benedith Maternity and Hospital Mmiata,yes,maternity,False,False,False,False,1300970789274.jpg,6.417319178581238 6.793375611305237 34.0 4.0,True,True,no,,False,False,False,yes,,True,False,False,False,False,False,False,Anambra West,48,48,48.0,False,False,False,False,False,True,True,True,True,True,,ANAMBRA_WEST,anambra,southeast,0,0,0.0,0.0,0.0,0.0,True,private,True,False,1300970789274.jpg,167416,175.491110633,False,False,True,health,True,no,Anambra,False,False,113,no,anambra_anambra_west,True,061042de1ed2c11c48235a9665033e1b,,False,1577,Southeast
False,953.9856429,False,False,False,True,False,True,True,True,True,True,True,True,,,no,True,,,,False,,,,True,True,True,Umuikwu Health Centre,yes,primaryhealthcarecentre,False,True,True,True,1300806937109.jpg,6.298266649246216 6.763393878936768 37.0 4.0,True,False,no,,False,False,True,yes,,,False,False,False,False,False,False,Anambra West,48,48,48.0,False,True,True,False,False,True,False,True,False,False,,ANAMBRA_WEST,anambra,southeast,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1300806937109.jpg,167416,175.491110633,False,False,True,health,False,no,Anambra,False,True,113,no,anambra_anambra_west,False,d453c2ae98a61f9a87c9042af87cfa80,True,True,1516,Southeast
False,953.9856429,False,False,False,True,True,True,True,True,True,True,True,True,,,no,True,,,,False,,,,True,False,True,Health Centre,yes,primaryhealthcarecentre,False,True,False,True,1300964421894.jpg,6.400609016418457 6.822429299354553 36.0 4.0,True,False,no,,True,False,False,no,,,False,False,False,False,False,False,Anambra West,48,48,48.0,False,True,False,False,False,True,False,True,False,False,,ANAMBRA_WEST,anambra,southeast,2,2,0.0,0.0,0.0,0.0,True,public,False,False,1300964421894.jpg,167416,175.491110633,False,False,True,health,False,no,Anambra,False,False,113,no,anambra_anambra_west,True,4ac6cc5dfe4d443c5d0e760d6d8b672d,,True,2504,Southeast
False,953.9856429,False,False,False,False,False,False,,False,False,False,False,False,,,None,,,,,,,,,,,,None,None,None,False,,False,,1301048547176.jpg,6.3640934228897095 6.746619343757629 42.0 4.0,False,,None,False,,,,None,,,False,False,False,False,False,False,Anambra West,48,48,48.0,False,,,False,False,,,,,,,ANAMBRA_WEST,anambra,southeast,0,0,0.0,0.0,0.0,0.0,,,,,1301048547176.jpg,167416,175.491110633,,,,health,False,None,Anambra,False,False,113,None,anambra_anambra_west,,a322bba5dadf2eb60c33c82b66d46748,,False,8375,Southeast
False,953.9856429,False,False,False,True,True,True,False,True,True,True,True,True,,,no,True,0.000291265614887,0.0323248291147,,False,True,True,True,True,True,True,Primary Health Center,yes,primaryhealthcarecentre,False,True,False,False,1300954062087.jpg,6.330689191818237 6.832718253135681 35.0 4.0,True,False,no,,False,False,True,yes,True,True,False,False,False,False,False,False,Anambra West,48,48,47.0,False,True,False,True,True,True,False,True,True,False,,ANAMBRA_WEST,anambra,southeast,5,5,0.0,0.0,1.0,0.0,True,public,False,False,1300954062087.jpg,167416,175.491110633,True,False,True,health,True,no,Anambra,False,False,113,yes,anambra_anambra_west,True,5a2d6ef1a59ac282dc946ea82ef19aae,,True,2503,Southeast
False,953.9856429,False,False,False,True,False,True,True,True,True,True,True,True,False,True,yes,,,,,False,True,True,False,True,False,True,Obodo-Oto Health Centre,yes,primaryhealthcarecentre,False,False,False,False,1300313595302.jpg,6.355150938034058 6.735203862190247 48.0 4.0,True,True,no,False,False,False,True,yes,True,True,False,False,False,False,False,False,Anambra West,48,48,48.0,False,True,True,True,True,True,True,True,True,True,yes,ANAMBRA_WEST,anambra,southeast,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1300313595302.jpg,167416,175.491110633,True,False,True,health,False,no,Anambra,False,True,113,no,anambra_anambra_west,True,7072cb993023179da2e0fc5bbd9d11e0,,True,1474,Southeast
False,953.9856429,False,False,False,False,False,False,,False,False,False,False,False,,,None,,,,,,,,,,,,None,None,None,False,,False,,1301048547176.jpg,6.3640934228897095 6.746619343757629 42.0 4.0,False,,None,False,,,,None,,,False,False,False,False,False,False,Anambra West,48,48,48.0,False,,,False,False,,,,,,,ANAMBRA_WEST,anambra,southeast,0,0,0.0,0.0,0.0,0.0,,,,,1301048547176.jpg,167416,175.491110633,,,,health,False,None,Anambra,False,False,113,None,anambra_anambra_west,,a322bba5dadf2eb60c33c82b66d46748,,False,8375,Southeast
