antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,225.6997583,False,False,False,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,PHC,TRUE,primaryhealthcarecentre,False,True,False,True,1346152916606.jpg,7.41680967 5.86636763 396.0 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,False,False,True,False,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,1,1,0.0,0.0,1.0,0.0,False,public,,True,1346152916606.jpg,82426,365.201986129,False,False,False,health,True,TRUE,Ondo,False,False,Others,TRUE,ondo_akoko_south_east,False,d80ade2d-e058-4ce3-ae2b-74958cfa66b3,,,d80ade2d-e058-4ce3-ae2b-74958cfa66b3,Southwest
False,225.6997583,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,False,False,False,,,"Basic Health Center, Emurin",TRUE,primaryhealthclinic,False,True,False,False,1346070677223.jpg,7.45072275 5.85621821 431.6000061035156 5.0,False,True,FALSE,False,True,True,False,FALSE,False,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,True,False,True,True,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,2,0,0.0,0.0,0.0,0.0,False,public,,False,1346070677223.jpg,82426,365.201986129,,False,False,health,False,TRUE,Ondo,False,False,Others,FALSE,ondo_akoko_south_east,False,f4a73c04-c73c-4e7b-b49f-3d307b4e2d3f,,,f4a73c04-c73c-4e7b-b49f-3d307b4e2d3f,Southwest
False,225.6997583,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Irobo Basic Health Centre,TRUE,primaryhealthclinic,False,True,False,True,1346242952798.jpg,7.44237738 5.89799695 409.20001220703125 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,False,False,True,False,False,False,Akoko South East,36,36,36.0,False,False,True,True,True,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,4,2,1.0,2.0,4.0,2.0,False,public,,True,1346242952798.jpg,82426,365.201986129,True,False,False,health,True,TRUE,Ondo,False,True,Others,FALSE,ondo_akoko_south_east,False,ab02ebbf-2d81-416a-80f3-dc85096c72dd,,,ab02ebbf-2d81-416a-80f3-dc85096c72dd,Southwest
False,225.6997583,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,XXX,TRUE,primaryhealthcarecentre,False,True,False,True,1346237812021.jpg,7.45377345 5.90908318 393.3999938964844 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,False,False,True,True,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,4,4,0.0,0.0,3.0,1.0,False,public,,False,1346237812021.jpg,82426,365.201986129,,False,False,health,True,TRUE,Ondo,False,False,Others,FALSE,ondo_akoko_south_east,False,dfa062ca-c3bc-4242-b89e-9767967b9884,,,dfa062ca-c3bc-4242-b89e-9767967b9884,Southwest
False,225.6997583,True,True,True,True,False,True,False,True,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,True,False,,True,General Hospital Ipe,TRUE,generalhospital,False,True,False,True,1346151809325.jpg,7.42214885 5.8504564 420.0 5.0,False,False,FALSE,False,True,True,False,TRUE,True,False,True,False,True,True,False,False,Akoko South East,36,36,36.0,False,True,False,True,True,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,0,0,3.0,0.0,5.0,9.0,False,public,,True,1346151809325.jpg,82426,365.201986129,False,False,False,health,True,TRUE,Ondo,True,True,Others,FALSE,ondo_akoko_south_east,False,f0c53cbd-db59-4b4b-9a1c-c1656efc1bc2,,,f0c53cbd-db59-4b4b-9a1c-c1656efc1bc2,Southwest
False,225.6997583,False,False,False,False,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Ipe Akoko Basic Health Centre,,primaryhealthclinic,False,False,False,False,1345901024499.jpg,7.43862052 5.85390834 453.3999938964844 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,False,False,False,False,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,3,1,,,0.0,,False,public,,False,1345901024499.jpg,82426,365.201986129,,False,False,health,False,TRUE,Ondo,False,,Others,TRUE,ondo_akoko_south_east,False,630dc502-7d32-446b-af4d-f4e11af333ac,,,630dc502-7d32-446b-af4d-f4e11af333ac,Southwest
False,225.6997583,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,BHC Epinmi,,primaryhealthclinic,False,,False,,1346074357814.jpg,7.46012424 5.86283953 431.8999938964844 5.0,False,False,FALSE,False,True,True,False,TRUE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,True,False,False,False,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,3,3,1.0,0.0,0.0,1.0,False,public,,True,1346074357814.jpg,82426,365.201986129,False,False,False,health,True,TRUE,Ondo,,,Others,FALSE,ondo_akoko_south_east,False,376f09b6-1c0c-49ee-b76d-6ef3c09ace92,,,376f09b6-1c0c-49ee-b76d-6ef3c09ace92,Southwest
False,225.6997583,True,True,True,True,False,True,False,True,True,True,True,True,True,True,TRUE,False,,,True,True,False,True,True,False,,True,General Hospital Ipe,TRUE,generalhospital,False,True,False,True,1346151809325.jpg,7.42214885 5.8504564 420.0 5.0,False,False,FALSE,False,True,True,False,TRUE,True,False,True,False,True,True,False,False,Akoko South East,36,36,36.0,False,True,False,True,True,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,0,0,3.0,0.0,5.0,9.0,False,public,,True,1346151809325.jpg,82426,365.201986129,False,False,False,health,True,TRUE,Ondo,True,True,Others,FALSE,ondo_akoko_south_east,False,f0c53cbd-db59-4b4b-9a1c-c1656efc1bc2,,,f0c53cbd-db59-4b4b-9a1c-c1656efc1bc2,Southwest
False,225.6997583,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Comprihensive Health Centre ifera,TRUE,primaryhealthcarecentre,False,True,False,True,1345813930451.jpg,7.37358154 5.90922641 376.5 5.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,False,False,True,True,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,2,1,,,4.0,,False,public,,True,1345813930451.jpg,82426,365.201986129,,False,False,health,False,TRUE,Ondo,False,False,Others,TRUE,ondo_akoko_south_east,False,d180c120-0fd2-416b-bc88-274f098f8f80,,,d180c120-0fd2-416b-bc88-274f098f8f80,Southwest
False,225.6997583,False,False,False,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Xxx,FALSE,primaryhealthclinic,False,,False,,1345815730879.jpg,7.405261 5.92314705 320.6000061035156 5.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,True,False,True,False,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,1,1,0.0,0.0,0.0,0.0,False,public,,True,1345815730879.jpg,82426,365.201986129,False,False,False,health,False,TRUE,Ondo,,True,Others,FALSE,ondo_akoko_south_east,False,f50209da-a698-44b9-ac9d-0a37494d940b,,,f50209da-a698-44b9-ac9d-0a37494d940b,Southwest
False,225.6997583,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,True,Primary Health Care Centre,TRUE,primaryhealthclinic,False,,False,,1345805362991.jpg,7.36521434 5.95516568 340.5 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,True,True,True,True,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,1,1,0.0,0.0,4.0,1.0,False,public,False,True,1345805362991.jpg,82426,365.201986129,True,False,False,health,True,TRUE,Ondo,,True,Others,TRUE,ondo_akoko_south_east,False,a8403a63-8821-4ebb-9e4a-5429e6767ede,,,a8403a63-8821-4ebb-9e4a-5429e6767ede,Southwest
False,225.6997583,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,BHC Isua 8,,primaryhealthclinic,False,,False,,1346236527183.jpg,7.4356406 5.89521872 354.6000061035156 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,True,False,False,False,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,1,0,0.0,0.0,0.0,0.0,False,public,,True,1346236527183.jpg,82426,365.201986129,,False,False,health,False,TRUE,Ondo,,True,Others,FALSE,ondo_akoko_south_east,False,8ee70365-5fdd-457c-828d-6a5aeeb42fc1,,,8ee70365-5fdd-457c-828d-6a5aeeb42fc1,Southwest
False,225.6997583,False,False,False,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,B. H. C,,primaryhealthclinic,False,False,False,False,1345892038834.jpg,7.43139856 5.85503886 490.29998779296875 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,True,False,False,False,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,1,0,0.0,0.0,0.0,0.0,False,public,,False,1345892038834.jpg,82426,365.201986129,True,False,False,health,False,TRUE,Ondo,False,True,Others,TRUE,ondo_akoko_south_east,False,95a4184a-ee8b-430f-aa26-745c5bbcdfc6,,,95a4184a-ee8b-430f-aa26-745c5bbcdfc6,Southwest
False,225.6997583,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,,BHC Isua,,primaryhealthclinic,False,,False,,1346234915889.jpg,7.43743657 5.88816697 363.6000061035156 5.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,True,False,False,False,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,1,1,0.0,0.0,0.0,0.0,False,public,,True,1346234915889.jpg,82426,365.201986129,,False,False,health,False,TRUE,Ondo,,True,Others,FALSE,ondo_akoko_south_east,False,382fd3fd-7bb9-4f93-89ef-26f47874ae11,,,382fd3fd-7bb9-4f93-89ef-26f47874ae11,Southwest
False,225.6997583,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,BHC Epinmi 2,TRUE,primaryhealthclinic,False,True,False,True,1346076998259.jpg,7.45816326 5.8669181 395.20001220703125 5.0,False,False,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,False,False,True,True,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,3,3,0.0,0.0,3.0,0.0,False,public,,True,1346076998259.jpg,82426,365.201986129,False,False,False,health,False,TRUE,Ondo,False,True,Others,TRUE,ondo_akoko_south_east,False,b28fface-f09b-436b-b7de-4ab614ad04db,,,b28fface-f09b-436b-b7de-4ab614ad04db,Southwest
False,225.6997583,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,False,False,False,,,"Basic Health Center, Emurin",TRUE,primaryhealthclinic,False,True,False,False,1346070677223.jpg,7.45072275 5.85621821 431.6000061035156 5.0,False,True,FALSE,False,True,True,False,FALSE,False,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,True,False,True,True,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,2,0,0.0,0.0,0.0,0.0,False,public,,False,1346070677223.jpg,82426,365.201986129,,False,False,health,False,TRUE,Ondo,False,False,Others,FALSE,ondo_akoko_south_east,False,f4a73c04-c73c-4e7b-b49f-3d307b4e2d3f,,,f4a73c04-c73c-4e7b-b49f-3d307b4e2d3f,Southwest
False,225.6997583,False,False,False,True,False,True,False,False,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,PHC,TRUE,primaryhealthcarecentre,False,True,False,True,1346152916606.jpg,7.41680967 5.86636763 396.0 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,False,False,True,False,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,1,1,0.0,0.0,1.0,0.0,False,public,,True,1346152916606.jpg,82426,365.201986129,False,False,False,health,True,TRUE,Ondo,False,False,Others,TRUE,ondo_akoko_south_east,False,d80ade2d-e058-4ce3-ae2b-74958cfa66b3,,,d80ade2d-e058-4ce3-ae2b-74958cfa66b3,Southwest
False,225.6997583,True,True,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,Irobo Basic Health Centre,TRUE,primaryhealthclinic,False,True,False,True,1346242952798.jpg,7.44237738 5.89799695 409.20001220703125 5.0,False,True,FALSE,False,True,True,False,TRUE,,True,False,False,True,False,False,False,Akoko South East,36,36,36.0,False,False,True,True,True,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,4,2,1.0,2.0,4.0,2.0,False,public,,True,1346242952798.jpg,82426,365.201986129,True,False,False,health,True,TRUE,Ondo,False,True,Others,FALSE,ondo_akoko_south_east,False,ab02ebbf-2d81-416a-80f3-dc85096c72dd,,,ab02ebbf-2d81-416a-80f3-dc85096c72dd,Southwest
False,225.6997583,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,,Basic health centre,FALSE,primaryhealthcarecentre,False,,False,,1345809070993.jpg,7.38664882 5.91326686 366.0 5.0,False,True,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,False,False,True,False,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,1,1,0.0,0.0,0.0,0.0,False,public,,True,1345809070993.jpg,82426,365.201986129,True,False,False,health,False,TRUE,Ondo,,,Others,TRUE,ondo_akoko_south_east,False,7def5e55-d896-4520-9f34-d1e3872fc6a4,,,7def5e55-d896-4520-9f34-d1e3872fc6a4,Southwest
False,225.6997583,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,XXX,TRUE,primaryhealthcarecentre,False,True,False,True,1346237812021.jpg,7.45377345 5.90908318 393.3999938964844 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,False,False,True,True,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,4,4,0.0,0.0,3.0,1.0,False,public,,False,1346237812021.jpg,82426,365.201986129,,False,False,health,True,TRUE,Ondo,False,False,Others,FALSE,ondo_akoko_south_east,False,dfa062ca-c3bc-4242-b89e-9767967b9884,,,dfa062ca-c3bc-4242-b89e-9767967b9884,Southwest
False,225.6997583,False,False,True,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,True,PHC Ifira,TRUE,primaryhealthclinic,False,True,False,True,1345812646736.jpg,7.39109575 5.91953245 332.29998779296875 5.0,False,True,FALSE,False,True,True,False,TRUE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,True,False,True,True,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,2,1,0.0,0.0,2.0,1.0,False,public,False,True,1345812646736.jpg,82426,365.201986129,False,False,False,health,True,TRUE,Ondo,False,True,Others,TRUE,ondo_akoko_south_east,False,36ba8ae5-8e48-4b39-976d-97796d107a78,,,36ba8ae5-8e48-4b39-976d-97796d107a78,Southwest
False,225.6997583,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,False,False,,,False,,,Basic health centre,FALSE,primaryhealthcarecentre,False,,False,,1345809070993.jpg,7.38664882 5.91326686 366.0 5.0,False,True,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Akoko South East,36,36,36.0,False,False,False,True,False,False,False,False,False,False,FALSE,akoko_south_east,ondo,southwest,1,1,0.0,0.0,0.0,0.0,False,public,,True,1345809070993.jpg,82426,365.201986129,True,False,False,health,False,TRUE,Ondo,,,Others,TRUE,ondo_akoko_south_east,False,7def5e55-d896-4520-9f34-d1e3872fc6a4,,,7def5e55-d896-4520-9f34-d1e3872fc6a4,Southwest
