antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
False,2118.700884,False,False,False,False,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,,"Primary Health Cear Centre, Igbori",yes,primaryhealthcarecentre,False,False,False,True,1307697439735.jpg,8.624342679977417 4.185689091682434 333.0 4.0,True,False,no,False,True,True,True,no,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,False,False,True,False,False,,ORIIRE,oyo,southwest,2,1,0.0,0.0,0.0,0.0,True,public,False,False,1307697439735.jpg,150628,71.0945094409,True,False,True,health,False,no,Oyo,False,True,113,no,oyo_oriire,True,ba7c4f436d38013e2b7eef66165011a6,,True,26553,Southwest
False,2118.700884,False,False,False,False,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,False,"Primary Health Cear Center, Adafila",no,primaryhealthcarecentre,True,True,True,True,1307542301168.jpg,8.456913828849792 4.2408353090286255 389.0 6.0,True,False,no,False,True,False,False,no,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,False,True,True,False,,ORIIRE,oyo,southwest,0,0,0.0,0.0,1.0,0.0,True,,False,False,1307542301168.jpg,150628,71.0945094409,False,False,True,health,True,yes,Oyo,False,True,113,no,oyo_oriire,True,50e88c8306dd72fa8bcfd8e49c6bf47f,,True,26530,Southwest
False,2118.700884,False,False,False,False,False,False,True,False,False,False,False,False,,,no,,,,,False,,,,True,False,True,Biiro Health Post,yes,healthpost,False,False,False,False,1307633788039.jpg,8.133831024169922 4.033951163291931 376.0 4.0,True,False,no,False,False,False,False,no,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,False,True,True,False,yes,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1307633788039.jpg,150628,71.0945094409,False,False,True,health,False,no,Oyo,False,True,113,no,oyo_oriire,False,faf43c51d406f63ef92a2af3ee97f570,,False,27979,Southwest
False,2118.700884,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,,,,False,True,False,False,True,False,True,Ajinapa Maternity Centre,no,primaryhealthcarecentre,False,True,False,True,1307456509267.jpg,8.294457793235779 4.251274466514587 430.0 4.0,True,False,no,,True,True,True,no,True,True,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,True,,True,False,False,True,False,yes,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1307456509267.jpg,150628,71.0945094409,True,False,True,health,False,no,Oyo,True,True,113,no,oyo_oriire,False,1ac62c6226e5d6edd14d296bb942e79c,,True,27926,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,True,"PHC,Onilali.",no,primaryhealthcarecentre,False,False,False,False,1307630277531.jpg,8.608952164649963 4.2338937520980835 368.0 4.0,True,False,no,False,True,True,True,no,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,False,True,True,False,,ORIIRE,oyo,southwest,0,0,0.0,0.0,0.0,0.0,True,public,False,False,1307630277531.jpg,150628,71.0945094409,True,False,True,health,False,yes,Oyo,False,True,113,no,oyo_oriire,False,a21fde37a3c2886b9e9ea1ef0676e418,,False,28006,Southwest
False,2118.700884,False,False,False,False,False,False,True,False,False,False,False,False,,,no,,,,,False,False,False,False,True,False,,matermity centre,yes,primaryhealthcarecentre,False,True,True,True,1307715003382.jpg,8.234091997146606 4.06744122505188 377.0 48.0,False,False,no,False,False,False,False,no,False,False,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,True,True,True,False,False,False,False,yes,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,,False,False,1307715003382.jpg,150628,71.0945094409,True,False,True,health,False,yes,Oyo,False,True,113,no,oyo_oriire,True,d8b3ee3cdf11dfa7b802ffe95fde49ae,,False,28906,Southwest
False,2118.700884,False,False,False,True,True,True,False,True,True,True,True,True,,,no,,,,,False,False,False,False,True,False,True,Oko lle Maternity centre,yes,primaryhealthcarecentre,False,True,True,True,1307702051326.jpg,8.19057047367096 4.012965559959412 403.0 16.0,False,False,no,False,True,False,False,no,True,True,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,True,True,True,False,True,True,False,yes,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1307702051326.jpg,150628,71.0945094409,True,False,True,health,False,no,Oyo,False,True,113,no,oyo_oriire,True,035d81de38ca9bdfdacea56309fa0a99,,True,28904,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,,Primary Health Cear Centre Alapete,yes,primaryhealthcarecentre,False,False,False,False,1307618050464.jpg,8.465405702590942 4.214774966239929 342.0 4.0,True,False,no,False,False,False,False,yes,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,False,False,False,False,,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1307618050464.jpg,150628,71.0945094409,False,False,True,health,False,no,Oyo,False,True,113,no,oyo_oriire,False,f83a6fe6a6f9ffb1dd54b202dcf8dd77,,True,26535,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,False,,,no,True,,,,False,,,,True,False,False,primary health care centre,yes,primaryhealthcarecentre,False,True,False,True,1307452868783.jpg,8.028425574302673 4.12362813949585 308.0 16.0,True,False,no,,True,True,True,no,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,True,True,True,False,yes,ORIIRE,oyo,southwest,2,1,0.0,0.0,0.0,0.0,True,public,False,False,1307452868783.jpg,150628,71.0945094409,True,False,True,health,False,no,Oyo,False,True,113,no,oyo_oriire,True,e6243c0eb24a8d8f4b7a29fe984b8bc5,,True,26042,Southwest
False,2118.700884,False,False,False,True,False,True,True,False,False,True,False,False,,,no,,,,,False,False,False,False,True,False,,Ahoro Esinele PHC,yes,primaryhealthcarecentre,False,False,False,False,1307708983805.jpg,8.243839144706726 4.011640548706055 375.0 6.0,True,False,no,False,True,False,True,no,False,False,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,True,True,True,False,True,True,False,yes,ORIIRE,oyo,southwest,0,0,0.0,0.0,1.0,0.0,False,public,False,True,1307708983805.jpg,150628,71.0945094409,True,False,True,health,True,no,Oyo,False,True,113,no,oyo_oriire,False,536455bf9befe16b369b83f9b493b513,,True,27977,Southwest
False,2118.700884,False,False,False,True,False,False,True,False,False,True,True,True,,,no,,,,,False,,,,True,False,True,Ipeba Health Post,yes,healthpost,False,False,False,False,1307554808511.jpg,7.9704201221466064 4.077606797218323 304.0 8.0,True,False,no,False,False,False,True,no,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,False,False,False,True,False,False,False,False,yes,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1307554808511.jpg,150628,71.0945094409,False,False,True,health,False,no,Oyo,False,False,113,no,oyo_oriire,False,a8ea9fb5734128e8289e33d5bfd0531e,,False,26189,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,False,True,,,,True,False,True,Elerukanfila Maternity Centre,no,primaryhealthclinic,False,True,False,False,1307622794375.jpg,8.491047620773315 4.224774241447449 385.0 3.0,True,False,no,False,True,True,False,no,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,False,True,False,False,True,False,True,False,False,,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1307622794375.jpg,150628,71.0945094409,True,False,False,health,False,no,Oyo,False,True,113,no,oyo_oriire,True,5559570c4010ba6c016bf31f0a4a0fcb,,True,27996,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,,OBAMU MATERNITY CENTRE,no,primaryhealthcarecentre,False,True,False,False,1307449219011.jpg,8.286051750183105 4.118092060089111 447.0 4.0,False,False,no,,True,False,True,yes,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,False,True,True,True,False,,ORIIRE,oyo,southwest,1,0,0.0,0.0,0.0,0.0,True,public,False,False,1307449219011.jpg,150628,71.0945094409,True,False,True,health,False,yes,Oyo,False,True,113,no,oyo_oriire,False,ea939fb8fc5bf2ce5568d4ab18ee703c,,False,25112,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,,Ahoro Dada maternity centre,yes,maternity,False,False,False,False,1307636301951.jpg,8.155460357666016 4.005600214004517 390.0 4.0,True,False,no,False,True,False,False,no,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,False,True,True,False,yes,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1307636301951.jpg,150628,71.0945094409,False,False,True,health,False,no,Oyo,False,True,113,no,oyo_oriire,False,b1d8af7df5d805c550c61bc1878b9a0d,,False,27981,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,False,Primary Health Cear Centre Olunda,no,primaryhealthcarecentre,True,True,True,True,1307454361103.jpg,8.348751068115234 4.242541193962097 410.0 4.0,True,False,no,False,True,True,False,no,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,True,True,True,False,,ORIIRE,oyo,southwest,2,1,0.0,0.0,0.0,0.0,True,public,False,False,1307454361103.jpg,150628,71.0945094409,False,False,True,health,False,no,Oyo,False,True,113,no,oyo_oriire,True,c959d527b826fc6955d2a668a8f63be8,,True,26523,Southwest
False,2118.700884,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,False,Heaith Post Ipekun,yes,primaryhealthcarecentre,False,False,False,False,1307463542380.jpg,8.364270329475403 4.314005970954895 385.0 4.0,True,False,no,,False,False,False,yes,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,False,True,True,False,,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1307463542380.jpg,150628,71.0945094409,False,False,True,health,False,yes,Oyo,False,True,113,no,oyo_oriire,False,6fd68e457f3b459eeef8f84aee3beedb,,False,27929,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,True,,,no,True,,,,False,,,,True,False,False,Elega PHC,yes,primaryhealthcarecentre,False,True,False,True,1307476199854.jpg,8.00703227519989 4.103602766990662 309.0 4.0,True,False,no,,True,True,True,no,,True,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,True,True,True,True,yes,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1307476199854.jpg,150628,71.0945094409,False,False,True,health,False,no,Oyo,False,True,113,no,oyo_oriire,True,7ee8ff9a6c0b04d85cfc1c1213deefc0,,False,27948,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,False,True,,,,True,False,True,Primary Health Centre,yes,primaryhealthcarecentre,False,False,False,False,1307534180766.jpg,8.4275221824646 4.2665040493011475 392.0 4.0,True,False,no,False,True,True,False,yes,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,True,True,True,False,,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1307534180766.jpg,150628,71.0945094409,True,False,True,health,False,yes,Oyo,False,True,113,no,oyo_oriire,False,aeff87843a495ebe61546b08892a5faf,,False,27935,Southwest
False,2118.700884,False,False,False,False,False,False,False,False,False,False,False,False,,,no,,,,,False,,,,True,False,False,CHC,yes,comprehensivehealthcentre,False,False,False,False,1307464370209.jpg,8.048885464668274 4.107121825218201 336.0 4.0,False,False,no,,True,True,True,yes,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,False,True,True,False,yes,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1307464370209.jpg,150628,71.0945094409,True,False,True,health,False,no,Oyo,False,True,113,no,oyo_oriire,False,e1f514b0e79449f2f24164f4a7f3ff9b,,False,27938,Southwest
,2118.700884,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307798644662.jpg,8.18881094455719 4.072832465171814 425.0 4.0,,,,,,,,,,,,,,,,,OriIre,610,610,610.0,,,,,,,,,,,,ORIIRE,oyo,southwest,0,0,0.0,0.0,0.0,0.0,,,,,1307798644662.jpg,150628,71.0945094409,,,,health,False,,Oyo,,,113,,oyo_oriire,,1c9f7c5a6768e6431e836d7e215146c7,,,31826,Southwest
,2118.700884,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1307798644662.jpg,8.18881094455719 4.072832465171814 425.0 4.0,,,,,,,,,,,,,,,,,OriIre,610,610,610.0,,,,,,,,,,,,ORIIRE,oyo,southwest,0,0,0.0,0.0,0.0,0.0,,,,,1307798644662.jpg,150628,71.0945094409,,,,health,False,,Oyo,,,113,,oyo_oriire,,1c9f7c5a6768e6431e836d7e215146c7,,,31826,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,,OBAMU MATERNITY CENTRE,no,primaryhealthcarecentre,False,True,False,False,1307449219011.jpg,8.286051750183105 4.118092060089111 447.0 4.0,False,False,no,,True,False,True,yes,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,False,True,True,True,False,,ORIIRE,oyo,southwest,1,0,0.0,0.0,0.0,0.0,True,public,False,False,1307449219011.jpg,150628,71.0945094409,True,False,True,health,False,yes,Oyo,False,True,113,no,oyo_oriire,False,ea939fb8fc5bf2ce5568d4ab18ee703c,,False,25112,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,False,Primary Health Cear Centre Olunda,no,primaryhealthcarecentre,True,True,True,True,1307454361103.jpg,8.348751068115234 4.242541193962097 410.0 4.0,True,False,no,False,True,True,False,no,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,True,True,True,False,,ORIIRE,oyo,southwest,2,1,0.0,0.0,0.0,0.0,True,public,False,False,1307454361103.jpg,150628,71.0945094409,False,False,True,health,False,no,Oyo,False,True,113,no,oyo_oriire,True,c959d527b826fc6955d2a668a8f63be8,,True,26523,Southwest
False,2118.700884,False,False,False,True,True,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,False,Heaith Post Ipekun,yes,primaryhealthcarecentre,False,False,False,False,1307463542380.jpg,8.364270329475403 4.314005970954895 385.0 4.0,True,False,no,,False,False,False,yes,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,False,True,True,False,,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1307463542380.jpg,150628,71.0945094409,False,False,True,health,False,yes,Oyo,False,True,113,no,oyo_oriire,False,6fd68e457f3b459eeef8f84aee3beedb,,False,27929,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,,False,,,,True,False,,Primary Health Cear Centre Alapete,yes,primaryhealthcarecentre,False,False,False,False,1307618050464.jpg,8.465405702590942 4.214774966239929 342.0 4.0,True,False,no,False,False,False,False,yes,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,False,False,False,False,,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1307618050464.jpg,150628,71.0945094409,False,False,True,health,False,no,Oyo,False,True,113,no,oyo_oriire,False,f83a6fe6a6f9ffb1dd54b202dcf8dd77,,True,26535,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,True,,,no,,,,False,True,,,,True,False,True,Elerukanfila Maternity Centre,no,primaryhealthclinic,False,True,False,False,1307622794375.jpg,8.491047620773315 4.224774241447449 385.0 3.0,True,False,no,False,True,True,False,no,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,False,True,False,False,True,False,True,False,False,,ORIIRE,oyo,southwest,1,1,0.0,0.0,0.0,0.0,True,public,False,False,1307622794375.jpg,150628,71.0945094409,True,False,False,health,False,no,Oyo,False,True,113,no,oyo_oriire,True,5559570c4010ba6c016bf31f0a4a0fcb,,True,27996,Southwest
False,2118.700884,False,False,False,True,False,True,True,True,True,True,True,False,,,no,True,,,,False,,,,True,False,False,primary health care centre,yes,primaryhealthcarecentre,False,True,False,True,1307452868783.jpg,8.028425574302673 4.12362813949585 308.0 16.0,True,False,no,,True,True,True,no,,,False,False,False,False,False,False,OriIre,610,610,610.0,False,True,True,False,False,True,True,True,True,False,yes,ORIIRE,oyo,southwest,2,1,0.0,0.0,0.0,0.0,True,public,False,False,1307452868783.jpg,150628,71.0945094409,True,False,True,health,False,no,Oyo,False,True,113,no,oyo_oriire,True,e6243c0eb24a8d8f4b7a29fe984b8bc5,,True,26042,Southwest
