"","X","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn"
"1",11935,"52a1f79c-5a5b-4e3b-a87f-d90c03980a5f","lagos_island","lagos","southwest",460,"1342176860996.jpg","lagos_lagos_island","52a1f79c-5a5b-4e3b-a87f-d90c03980a5f","1342176860996.jpg","6.45745163 3.3901937 43.599998474121094 6.0","LAPIC MEDICAL CENTRE","specialisthospital",TRUE,TRUE,NA,TRUE,TRUE,2,NA,TRUE,0,4,4,2,1,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"2",11936,"dff3d934-d725-4a2a-b736-7c37738a3fda","lagos_island","lagos","southwest",460,"1342172788777.jpg","lagos_lagos_island","dff3d934-d725-4a2a-b736-7c37738a3fda","1342172788777.jpg","6.45963368 3.39121784 35.400001525878906 5.0","Oko awo Public Health Care","primaryhealthclinic",FALSE,NA,TRUE,TRUE,TRUE,0,TRUE,FALSE,0,2,2,3,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"3",11937,"9d2f7093-0120-495b-a9a0-744e5831b7bb","lagos_island","lagos","southwest",460,"1341926851077.jpg","lagos_lagos_island","9d2f7093-0120-495b-a9a0-744e5831b7bb","1341926851077.jpg","6.45801606 3.3809016 52.5 5.0","DR. A A FATAI WILLIAMS MEDICAL CLINIC","specialisthospital",FALSE,NA,NA,TRUE,TRUE,0,NA,FALSE,0,4,2,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"4",11938,"47e96cba-7812-4185-905d-18543f8db621","lagos_island","lagos","southwest",460,"1342179041993.jpg","lagos_lagos_island","47e96cba-7812-4185-905d-18543f8db621","1342179041993.jpg","6.45482175 3.39406773 21.700000762939453 5.0","Mayowa Hosiptal","comprehensivehealthcentre",TRUE,TRUE,NA,TRUE,TRUE,4,NA,FALSE,4,1,1,2,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"5",11939,"7e50889b-3bda-490d-94da-c629c2e18e61","lagos_island","lagos","southwest",460,"1342517551862.jpg","lagos_lagos_island","7e50889b-3bda-490d-94da-c629c2e18e61","1342517551862.jpg","6.45821750164032 3.3816003799438477 36.0 4.0","Fuja","primaryhealthcarecentre",TRUE,TRUE,NA,TRUE,TRUE,2,NA,TRUE,2,1,3,4,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"6",11940,"e55a7d85-70f8-47f7-96ef-36a54b922734","lagos_island","lagos","southwest",460,"1342430604579.jpg","lagos_lagos_island","e55a7d85-70f8-47f7-96ef-36a54b922734","1342430604579.jpg","6.452767 3.39734188 27.899999618530273 5.0","Fehintola Royal consult clinic","primaryhealthclinic",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,8,0,3,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE
"7",11941,"6caae56f-1c5b-4717-b6e2-04cc826cb69c","lagos_island","lagos","southwest",460,"1342099962071.jpg","lagos_lagos_island","6caae56f-1c5b-4717-b6e2-04cc826cb69c","1342099962071.jpg","6.45863182 3.39294047 27.200000762939453 5.0","Eseem medical services.","primaryhealthclinic",FALSE,NA,NA,TRUE,TRUE,1,NA,FALSE,0,0,0,4,2,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"8",11942,"7dcee31b-a652-4a0b-b4d9-24feb340d265","lagos_island","lagos","southwest",460,"1342533226873.jpg","lagos_lagos_island","7dcee31b-a652-4a0b-b4d9-24feb340d265","1342533226873.jpg","6.44495665 3.4051781 16.899999618530273 5.0","ONIKAN HEALTH CENTRE","comprehensivehealthcentre",FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,TRUE,0,0,0,26,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"9",11943,"0d3041d8-16c4-40fe-8b32-32cef88a62bc","lagos_island","lagos","southwest",460,"1342175039856.jpg","lagos_lagos_island","0d3041d8-16c4-40fe-8b32-32cef88a62bc","1342175039856.jpg","6.4583742 3.39052932 36.900001525878906 5.0","Goodfaith Clinic","primaryhealthclinic",TRUE,TRUE,NA,TRUE,TRUE,4,NA,TRUE,2,2,1,3,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE
"10",11944,"f5007e56-0ddf-4067-b43d-c5cb8d55e6dc","lagos_island","lagos","southwest",460,"1341920009777.jpg","lagos_lagos_island","f5007e56-0ddf-4067-b43d-c5cb8d55e6dc","1341920009777.jpg","6.45930235 3.38215503 27.5 5.0","OLOWO OWO P H C","primaryhealthcarecentre",TRUE,TRUE,NA,TRUE,TRUE,6,TRUE,FALSE,2,1,4,0,1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
"11",11945,"5b96faef-2532-4211-866a-f395394e9d0d","lagos_island","lagos","southwest",460,"1342425781524.jpg","lagos_lagos_island","5b96faef-2532-4211-866a-f395394e9d0d","1342425781524.jpg","6.45263304 3.39790636 25.899999618530273 5.0","MHA Clinic","primaryhealthclinic",TRUE,TRUE,NA,TRUE,TRUE,0,NA,TRUE,0,7,6,2,2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"12",11946,"e91fd001-71cd-4a2a-868c-103528ff8749","lagos_island","lagos","southwest",460,"1342103840190.jpg","lagos_lagos_island","e91fd001-71cd-4a2a-868c-103528ff8749","1342103840190.jpg","6.45822633 3.39390957 30.299999237060547 5.0","OBA clinic","maternity",TRUE,TRUE,NA,TRUE,TRUE,0,NA,FALSE,0,0,6,1,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"13",11947,"ac26b766-068d-4ecd-be2b-84626db69018","lagos_island","lagos","southwest",460,"1342001144123.jpg","lagos_lagos_island","ac26b766-068d-4ecd-be2b-84626db69018","1342001144123.jpg","6.45848496 3.38466488 48.0 9.0","TMS CLINIC","specialisthospital",TRUE,TRUE,NA,TRUE,TRUE,7,NA,FALSE,6,1,1,2,0,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"14",11948,"ec5237e4-ea6b-4d2c-82a4-df6fa9374ca5","lagos_island","lagos","southwest",460,"1342001768441.jpg","lagos_lagos_island","ec5237e4-ea6b-4d2c-82a4-df6fa9374ca5","1342001768441.jpg","6.4622461795806885 3.3857041597366333 23.0 8.0","Asiata Abake memorial hospital","primaryhealthclinic",TRUE,TRUE,NA,TRUE,TRUE,0,NA,FALSE,0,3,4,1,2,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,TRUE,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE
"15",11949,"59251dc4-70bd-4be3-a9b5-7dc91334cd34","lagos_island","lagos","southwest",460,"1341997692037.jpg","lagos_lagos_island","59251dc4-70bd-4be3-a9b5-7dc91334cd34","1341997692037.jpg","6.46271288394928 3.38479220867157 27.0 6.0","Community Health center ","primaryhealthcarecentre",FALSE,FALSE,TRUE,TRUE,FALSE,2,TRUE,FALSE,1,0,0,0,1,TRUE,NA,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,FALSE,NA,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"16",11950,"ac46488d-4cf8-4ef0-a2c6-d18525dd88c4","lagos_island","lagos","southwest",460,"1342438717993.jpg","lagos_lagos_island","ac46488d-4cf8-4ef0-a2c6-d18525dd88c4","1342438717993.jpg","6.45181481 3.39853731 35.599998474121094 5.0","Dr Abimbola Awoniyi hospital","cottagehospital",TRUE,TRUE,NA,FALSE,TRUE,0,NA,TRUE,0,14,11,3,2,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,NA,TRUE,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE,NA,TRUE,TRUE,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"17",11951,"a502b1df-7301-4346-8291-687d7932ec40","lagos_island","lagos","southwest",460,"1342102637966.jpg","lagos_lagos_island","a502b1df-7301-4346-8291-687d7932ec40","1342102637966.jpg","6.45790635 3.39422921 35.0 35.0","Anikantamo health post","healthpostdispensary",FALSE,NA,NA,TRUE,FALSE,3,TRUE,FALSE,2,0,0,0,0,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"18",11952,"f3dc8047-0ce5-4e63-b331-edcc4b2b153f","lagos_island","lagos","southwest",460,"1342013574870.jpg","lagos_lagos_island","f3dc8047-0ce5-4e63-b331-edcc4b2b153f","1342013574870.jpg","6.45276584 3.39200079 98.4000015258789 5.0","JLT clinic","primaryhealthcarecentre",FALSE,NA,NA,TRUE,TRUE,0,NA,FALSE,0,2,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
