antishock_garment_yn,area_sq_km,at_least_four_skilled_birth_attendants,at_least_three_skilled_birth_attendants,at_least_two_skilled_birth_attendants,child_health_bcg_immunization_calc,child_health_csm_immunization_calc,child_health_dpt_immunization_calc,child_health_growth_monitor,child_health_hepb_immunization_calc,child_health_measles_immun_calc,child_health_opv_immuization_calc,child_health_tetanus_immun_calc,child_health_yellow_fever_immun_calc,compr_oc_blood_transfusions,compr_oc_c_sections,comprehensive_obstetrics_yn,condoms_yn,dist_euc,dist_fake,emergency_transport,emergency_transport_currently_functioning,emoc_forceps,emoc_parenteral_anticonvulsant,emoc_vacuum_extractor,equipment_bp_machine,equipment_refrigerator,essential_meds_stockout,facility_name,facility_open_247_yn,facility_type,family_planning_implants_calc,family_planning_injectables_calc_calc,family_planning_iud_calc,family_planning_pill_calc_calc,formhub_photo_id,gps,has_itns,health_no_user_fees,hiv_treatment_yn,hiv_tx_srvcs_pmtct_services_calc,improved_sanitation,improved_sanitation_and_functional,improved_water_supply,inpatient_care_yn,iv_antibiotics_yn_calc,iv_medications_yn,lab_tests_hemoglobin_testing_calc,lab_tests_hiv_testing_calc,lab_tests_pregnancy_calc,lab_tests_stool_calc,lab_tests_tb_microscopy_calc,lab_tests_urine_testing_calc,lga,lga_id,lga_orig,lga_valid,malaria_testing,malaria_treatment_artemisinin,malaria_treatment_sulphadoxine,maternal_health_delivery_services,maternal_health_delivery_services_24_7,medication_anti_malarials,medication_antihistamines,medication_folic_acid,medication_iron_tablets,medication_iv_fluid,mobile_signal_funct_yn,mylga,mylga_state,mylga_zone,num_chews_and_chos,num_chews_total,num_doctors_fulltime,num_lab_techs_fulltime,num_nursemidwives_fulltime,num_nurses_fulltime,oral_antibiotics_calc,owner_manager,paid_services_malaria_treatment,phcn_electricity,photo,pop_2006,pop_density_2006,potable_water_access,power_access_and_functional,scale_yn,sector,skilled_birth_attendant,staff_paid_lastmth_yn,state,sterilization_yn_calc,sulpha_and_antenatal,surveying_effort,tb_treatment_yn,unique_lga,uterotonics_yn_calc,uuid,vaccines_fridge_freezer,vaccines_icepack_calc,x_id,zone
,1925.799483,False,False,True,,,,,,,,,,,False,FALSE,,,,True,True,,True,False,,,,Joe Healthclinic/Maternity,FALSE,wardmodelphccentre,,True,,True,1335407028168.jpg,7.9917357 7.33059166 103.30000305175781 6.0,,,,,,,,TRUE,True,,,,,,,,Bassa,93,93,93.0,,True,,True,False,,,,,,,bassa,kogi,north_central,3,1,1.0,1.0,1.0,1.0,,,,,1335407028168.jpg,139993,72.6934456239,,,,health,True,,Kogi,False,True,148,FALSE,kogi_bassa,,480738c2-3491-4358-98c7-8ea21f8b9961,,,480738c2-3491-4358-98c7-8ea21f8b9961,North-Central
False,1925.799483,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,True,False,False,,,Emi audu pry health care,FALSE,primaryhealthclinic,False,,False,,1346056005382.jpg,7.76984532 6.89453731 136.10000610351563 5.0,False,True,FALSE,False,,,False,FALSE,True,False,False,False,False,False,False,False,Bassa,93,93,93.0,False,True,False,True,False,False,False,False,False,False,FALSE,bassa,kogi,north_central,1,0,0.0,0.0,0.0,0.0,False,public,False,False,1346056005382.jpg,139993,72.6934456239,True,False,False,health,False,FALSE,Kogi,,True,148,FALSE,kogi_bassa,False,3764a86e-dd8a-470c-a3f9-74ea46d273f7,,,3764a86e-dd8a-470c-a3f9-74ea46d273f7,North-Central
False,1925.799483,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,0.00211003013794,0.233888484885,False,False,False,,,False,,,Dodogbagi health,,healthpostdispensary,False,,False,,1346168879627.jpg,7.48575208 6.72433995 78.30000305175781 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Bassa,93,93,561.0,False,False,False,False,False,False,False,False,False,False,FALSE,bassa,kogi,north_central,1,1,0.0,0.0,0.0,0.0,False,public,,False,1346168879627.jpg,139993,72.6934456239,,False,False,health,False,FALSE,Kogi,,,148,FALSE,kogi_bassa,False,e125696a-1699-47fe-a569-aec6b52f0cf6,,,e125696a-1699-47fe-a569-aec6b52f0cf6,North-Central
False,1925.799483,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,False,True,False,,,False,,,PHC Rivine,FALSE,primaryhealthcarecentre,False,True,False,False,1335326691406.jpg,7.95375421 7.23362267 96.9000015258789 5.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,False,False,False,False,Bassa,93,93,93.0,False,True,False,True,False,False,False,False,False,False,FALSE,bassa,kogi,north_central,1,0,,,0.0,,False,public,,False,1335326691406.jpg,139993,72.6934456239,,False,False,health,False,TRUE,Kogi,False,True,148,FALSE,kogi_bassa,False,e480c48e-0532-4c46-b8e3-d5cd31f578de,,,e480c48e-0532-4c46-b8e3-d5cd31f578de,North-Central
False,1925.799483,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,,Egbo pry health care,,primaryhealthclinic,False,,False,,1346175107710.jpg,7.60439114 6.71454036 81.0999984741211 5.0,False,False,FALSE,False,,,False,FALSE,,False,False,False,False,False,False,False,Bassa,93,93,93.0,False,False,False,False,False,False,False,False,False,False,FALSE,bassa,kogi,north_central,0,0,0.0,0.0,0.0,0.0,False,public,,False,1346175107710.jpg,139993,72.6934456239,,False,False,health,False,FALSE,Kogi,,,148,FALSE,kogi_bassa,False,511f6df0-3447-4b24-a7fa-4ed666edc654,,,511f6df0-3447-4b24-a7fa-4ed666edc654,North-Central
False,1925.799483,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,,True,PHC Zenyi,FALSE,primaryhealthclinic,False,,False,,1335412419039.jpg,7.97223742 7.36195698 137.3000030517578 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,True,False,False,False,Bassa,93,93,93.0,False,True,False,True,False,False,False,False,False,False,FALSE,bassa,kogi,north_central,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1335412419039.jpg,139993,72.6934456239,,False,False,health,False,TRUE,Kogi,,True,148,FALSE,kogi_bassa,False,558c8b9a-9ba8-45fc-b6ab-6749a8bc422c,,,558c8b9a-9ba8-45fc-b6ab-6749a8bc422c,North-Central
False,1925.799483,False,False,False,False,False,False,False,False,False,False,False,False,,False,FALSE,False,,,False,False,False,,,False,,,Xxx,FALSE,primaryhealthclinic,False,,False,,1346159804359.jpg,7.5751972 6.70502334 76.69999694824219 5.0,False,False,FALSE,False,True,True,False,FALSE,,False,False,False,False,False,False,False,Bassa,93,93,93.0,False,False,False,True,False,False,False,False,False,False,FALSE,bassa,kogi,north_central,0,0,0.0,0.0,0.0,0.0,False,public,,False,1346159804359.jpg,139993,72.6934456239,True,False,False,health,False,FALSE,Kogi,,,148,FALSE,kogi_bassa,False,07241466-9517-489c-b753-e9c4fd4e5db8,,,07241466-9517-489c-b753-e9c4fd4e5db8,North-Central
False,1925.799483,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,,True,PHC Odulo,FALSE,primaryhealthclinic,False,,False,,1335402025782.jpg,7.99223045 7.31040645 97.9000015258789 5.0,False,True,FALSE,False,,,False,FALSE,,False,False,False,True,False,False,False,Bassa,93,93,93.0,False,False,False,True,False,False,False,False,False,False,FALSE,bassa,kogi,north_central,1,0,0.0,0.0,0.0,0.0,False,public,False,False,1335402025782.jpg,139993,72.6934456239,,False,False,health,False,TRUE,Kogi,,,148,FALSE,kogi_bassa,False,fa260cb3-839e-4a41-a782-d4b69e168d36,,,fa260cb3-839e-4a41-a782-d4b69e168d36,North-Central
False,1925.799483,False,False,False,True,False,True,False,True,True,True,True,True,,False,FALSE,False,,,True,True,False,,,False,,,PHC Gagbau,FALSE,primaryhealthclinic,False,False,False,False,1335395704863.jpg,7.97837622 7.26975303 115.19999694824219 5.0,False,True,FALSE,False,,,False,TRUE,,False,False,False,True,False,False,False,Bassa,93,93,93.0,False,True,False,True,False,False,False,False,False,False,FALSE,bassa,kogi,north_central,1,1,0.0,0.0,0.0,0.0,False,public,False,False,1335395704863.jpg,139993,72.6934456239,,False,False,health,False,TRUE,Kogi,False,True,148,FALSE,kogi_bassa,False,ce2f8f61-50ca-48c8-bd0a-d79070e2c6bb,,,ce2f8f61-50ca-48c8-bd0a-d79070e2c6bb,North-Central
,1925.799483,False,False,False,,,,,,,,,,,False,FALSE,,,,True,True,,True,True,,,,PHC Kpanche,TRUE,wardmodelphccentre,,False,,False,1335330986878.jpg,7.96426457 7.25110592 92.0 5.0,,,,,,,,TRUE,True,,,,,,,,Bassa,93,93,93.0,,True,,True,True,,,,,,,bassa,kogi,north_central,2,2,1.0,0.0,0.0,0.0,,,,,1335330986878.jpg,139993,72.6934456239,,,,health,True,,Kogi,True,True,148,FALSE,kogi_bassa,,8294e6b5-2a7b-4ecc-8cf0-221d258f2791,,,8294e6b5-2a7b-4ecc-8cf0-221d258f2791,North-Central
