"","X","uuid","mylga","mylga_state","mylga_zone","X_lga_id","photo","unique_lga","X_id","formhub_photo_id","gps","facility_name","facility_type","maternal_health_delivery_services_24_7","facility_open_247_yn","essential_meds_stockout","emergency_transport_currently_functioning","skilled_birth_attendant","num_chews_and_chos","power_access_and_functional","comprehensive_obstetrics_yn","num_chews_total","num_nurses_fulltime","num_nursemidwives_fulltime","num_doctors_fulltime","num_lab_techs_fulltime","staff_paid_lastmth_yn","sulpha_and_antenatal","has_itns","medication_iron_tablets","medication_folic_acid","scale_yn","equipment_bp_machine","hiv_tx_srvcs_pmtct_services_calc","lab_tests_hemoglobin_testing_calc","lab_tests_urine_testing_calc","mobile_signal_funct_yn","iv_antibiotics_yn_calc","emoc_vacuum_extractor","emoc_forceps","compr_oc_c_sections","uterotonics_yn_calc","antishock_garment_yn","emoc_parenteral_anticonvulsant","at_least_two_skilled_birth_attendants","at_least_three_skilled_birth_attendants","at_least_four_skilled_birth_attendants","compr_oc_blood_transfusions","condoms_yn","family_planning_pill_calc_calc","family_planning_injectables_calc_calc","family_planning_iud_calc","family_planning_implants_calc","sterilization_yn_calc","child_health_growth_monitor","child_health_measles_immun_calc","child_health_opv_immuization_calc","child_health_dpt_immunization_calc","child_health_tetanus_immun_calc","child_health_hepb_immunization_calc","child_health_bcg_immunization_calc","child_health_yellow_fever_immun_calc","child_health_csm_immunization_calc","vaccines_icepack_calc","equipment_refrigerator","malaria_testing","malaria_treatment_artemisinin","malaria_treatment_sulphadoxine","paid_services_malaria_treatment","medication_anti_malarials","oral_antibiotics_calc","medication_antihistamines","medication_iv_fluid","lab_tests_pregnancy_calc","lab_tests_stool_calc","potable_water_access","improved_sanitation_and_functional","lab_tests_tb_microscopy_calc","tb_treatment_yn","lab_tests_hiv_testing_calc","hiv_treatment_yn","health_no_user_fees","iv_medications_yn","inpatient_care_yn"
"1",15389,"fac61d77-5087-41e3-a742-f0105371cd46","okitipupa","ondo","southwest",587,"1338038545786.jpg","ondo_okitipupa","fac61d77-5087-41e3-a742-f0105371cd46","1338038545786.jpg","6.58005317 4.62244301 82.19999694824219 5.0","Basic health centre","primaryhealthclinic",TRUE,TRUE,TRUE,TRUE,FALSE,1,FALSE,FALSE,1,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"2",15390,"331835e7-60f0-4c85-983f-1fff38e33f26","okitipupa","ondo","southwest",587,"1338202792555.jpg","ondo_okitipupa","331835e7-60f0-4c85-983f-1fff38e33f26","1338202792555.jpg","6.5716627 4.63925624 55.0 5.0","GEN HOSPT","generalhospital",FALSE,FALSE,TRUE,TRUE,TRUE,0,TRUE,TRUE,0,5,11,2,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
"3",15391,"c5887c39-4cb6-407b-97e9-373dfab1ea77","okitipupa","ondo","southwest",587,"1338196533922.jpg","ondo_okitipupa","c5887c39-4cb6-407b-97e9-373dfab1ea77","1338196533922.jpg","6.58456745 4.64001458 83.0999984741211 5.0","BHS","primaryhealthclinic",TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,3,2,2,0,0,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
"4",15392,"837f04ab-cb6c-47af-89d7-5392574925bc","okitipupa","ondo","southwest",587,"1338299249595.jpg","ondo_okitipupa","837f04ab-cb6c-47af-89d7-5392574925bc","1338299249595.jpg","6.5190022 4.77325532 67.19999694824219 5.0","Basic Health Center","primaryhealthclinic",TRUE,TRUE,TRUE,TRUE,TRUE,5,FALSE,TRUE,5,0,1,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
"5",15393,"3cbb4fcf-ef2a-4678-b39f-9670d3b77dd8","okitipupa","ondo","southwest",587,"1338126714840.jpg","ondo_okitipupa","3cbb4fcf-ef2a-4678-b39f-9670d3b77dd8","1338126714840.jpg","6.50198494 4.78828898 49.099998474121094 5.0","Health Centre","primaryhealthclinic",FALSE,NA,NA,FALSE,TRUE,0,NA,FALSE,0,4,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"6",15394,"a5e1c238-ced3-46f1-96c6-85967c723fda","okitipupa","ondo","southwest",587,"1338299255866.jpg","ondo_okitipupa","a5e1c238-ced3-46f1-96c6-85967c723fda","1338299255866.jpg","6.59967027 4.74846898 68.30000305175781 5.0","Basic Health Centre","primaryhealthclinic",FALSE,FALSE,TRUE,FALSE,FALSE,2,FALSE,FALSE,1,0,0,0,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,TRUE,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
"7",15395,"5b00a94d-3aeb-4021-b5ab-006557e3b755","okitipupa","ondo","southwest",587,"1337942424920.jpg","ondo_okitipupa","5b00a94d-3aeb-4021-b5ab-006557e3b755","1337942424920.jpg","6.72263433 4.53332209 119.5 5.0","Phc","primaryhealthclinic",FALSE,NA,NA,TRUE,TRUE,1,FALSE,FALSE,0,1,0,0,0,TRUE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"8",15396,"bdc024a9-1fae-4e18-a9c1-1959821436bb","okitipupa","ondo","southwest",587,"1338035983656.jpg","ondo_okitipupa","bdc024a9-1fae-4e18-a9c1-1959821436bb","1338035983656.jpg","6.58039311 4.62246183 86.4000015258789 5.0","Basic health centre","primaryhealthclinic",TRUE,TRUE,NA,TRUE,FALSE,1,FALSE,FALSE,1,0,0,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,NA,FALSE,NA,NA,FALSE,FALSE,NA,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"9",15397,"1044ea5d-a4c4-42f5-a84c-488e5d4a92d8","okitipupa","ondo","southwest",587,"1338200076100.jpg","ondo_okitipupa","1044ea5d-a4c4-42f5-a84c-488e5d4a92d8","1338200076100.jpg","6.57185076 4.63313643 56.70000076293945 5.0","BHC","primaryhealthclinic",FALSE,FALSE,TRUE,TRUE,FALSE,5,FALSE,FALSE,4,0,0,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,NA,NA,FALSE,TRUE,FALSE,NA,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
"10",15398,"bcfdc966-7a06-491a-84ba-e50274cf8262","okitipupa","ondo","southwest",587,"1337952310528.jpg","ondo_okitipupa","bcfdc966-7a06-491a-84ba-e50274cf8262","1337952310528.jpg","6.72559975 4.58153906 110.9000015258789 5.0","Hospital","wardmodelphccentre",TRUE,TRUE,NA,TRUE,TRUE,0,NA,FALSE,0,1,1,0,0,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,NA,NA,FALSE,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
"11",15399,"ecf1e2b2-4204-4f9d-baac-a7440777eb10","okitipupa","ondo","southwest",587,"1338111198731.jpg","ondo_okitipupa","ecf1e2b2-4204-4f9d-baac-a7440777eb10","1338111198731.jpg","6.7209584 4.64959222 130.1999969482422 5.0","BHC","primaryhealthclinic",FALSE,TRUE,TRUE,TRUE,TRUE,4,FALSE,FALSE,4,0,0,1,0,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,NA,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
"12",15400,"59925b15-9db3-47ec-b910-b124e496412b","okitipupa","ondo","southwest",587,"1338040899227.jpg","ondo_okitipupa","59925b15-9db3-47ec-b910-b124e496412b","1338040899227.jpg","6.59057006 4.73734045 67.69999694824219 5.0","Health clinic","primaryhealthclinic",FALSE,NA,NA,FALSE,TRUE,0,NA,FALSE,0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE
"13",15401,"242c3559-e532-41b0-85a0-dcb383762b15","okitipupa","ondo","southwest",587,"1338032369288.jpg","ondo_okitipupa","242c3559-e532-41b0-85a0-dcb383762b15","1338032369288.jpg","6.51963197 4.6356997 48.79999923706055 5.0","Ebenezer Clinic Igo-aduwo","healthpostdispensary",FALSE,NA,NA,TRUE,TRUE,0,NA,FALSE,0,5,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,TRUE,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE
